Unnamed: 0,task_name,role,goal,location,company_level,fred_category,user_intent,difficulty
498,"compile and prepare documentation related to production sequences, transportation, personnel schedules, or purchase, maintenance, or repair orders.",Documentation Specialist,"To compile and prepare documentation related to production sequences, transportation, personnel schedules, or purchase, maintenance, or repair orders.","Various locations including offices, factories, warehouses, etc., depending on the specific industry context.",Mid-Level,Manufacturing,"To ensure that all relevant documentation for production sequences, transportation logistics, personnel schedules, and various operational processes are accurately compiled and prepared to support business operations efficiently.",Moderate
499,compile and prepare reports and documents pertaining to personnel activities.,Personnel Support Specialist,Compile and prepare reports and documents pertaining to personnel activities.,"Various work environments including offices, factories or other organizational settings where personnel management is required.",Specialist,Professional Services,The user intends to ensure accurate and timely reporting of personnel activities for decision-making purposes within their organization.,Moderate
500,"compile and record medical charts, reports, or correspondence, using typewriter or personal computer.",Medical Records Clerk,"Compile and record medical charts, reports, or correspondence using typewriter or personal computer.",Hospital or Medical Office,Mid-Level,Health Services,To maintain accurate patient records for various healthcare providers in a hospital setting.,Moderate
501,"compile and study occupational, educational, and economic information to assist counselees in determining and carrying out vocational and educational objectives.",Career Counselor,"Assist counselees in determining and carrying out vocational and educational objectives by compiling and studying occupational, educational, and economic information.","Various settings such as schools, counseling centers, or community organizations where career guidance is provided.",Specialist,Professional Services,To provide vocational guidance to help individuals achieve their professional development goals based on available information.,Moderate
502,"compile and write documentation of program development and subsequent revisions, inserting comments in the coded instructions so others can understand the program.",Software Developer or Documentation Writer,"Compile and write documentation of program development and subsequent revisions, including inserting comments in coded instructions for understanding.",Office environment (typically a computer lab or office with internet access),Specialist,Information,"To create comprehensive documentation that explains the program's development process and future revisions, making it accessible to other users who may need to understand or use the software.",Moderate
503,compile bibliographies and prepare abstracts on subjects of interest to particular organizations or groups.,Researcher or Bibliography Compiler,Compile bibliographies and prepare abstracts on subjects of interest to particular organizations or groups.,"Various locations depending on the organization (e.g., office, home)",Specialist,Other Services,The user is trying to create compilations and summaries for organizations related to specific topics.,Moderate
504,compile bibliographies of specialized materials for outside reading assignments.,Librarian or Academic Support Specialist,Compile bibliographies of specialized materials for outside reading assignments,"Library, Classroom, or Digital Platform",Mid-level,Other Services,To prepare students or researchers with a list of relevant and scholarly resources for their independent study tasks.,Moderate
505,"compile budget data and documents, based on estimated revenues and expenses and previous budgets.",Budget Analyst,To compile budget data and documents based on estimated revenues and expenses and previous budgets.,Various locations including office environments depending on company structure.,Mid-level or Specialist (depending on the specific responsibilities of the position),Financial Activities,To provide accurate financial data for budget planning and analysis within an organization.,Moderate
506,"compile cue words and phrases and cue announcers, cast members, and technicians during performances.",Performance Production Specialist,"Compile cue words and phrases for performers, cast members, and technicians during performances.","Theatrical or performance venue (e.g., theater, concert hall)",Specialist,Other Services,To ensure smooth communication and synchronized actions among different personnel involved in a live performance.,Moderate
507,compile data and create statistical reports on library usage.,Data Analyst,To compile data and create statistical reports on library usage.,Library or related institution where the library is located,Specialist,Other Services,To generate insights from library usage data to help improve services and management decisions.,Moderate
508,"compile data for use in activities such as gene expression profiling, genome annotation, and structural bioinformatics.",Biological Data Analyst,"Compile data for use in gene expression profiling, genome annotation, and structural bioinformatics activities.",Research Laboratory or Bioinformatics Department,Specialist,Information,To prepare comprehensive biological datasets necessary for advanced bioinformatics analysis related to genetics and genomics.,Moderate
509,"compile information about flights from flight plans, pilot reports, radar, or observations.",Flight Information Analyst,"Compile information about flights from various sources such as flight plans, pilot reports, radar data, and observations.",Various airport control centers or aviation management offices around the world,Mid-Level,Transportation,"To provide comprehensive and accurate information about flights for air traffic controllers, airlines, and other stakeholders involved in aviation operations.",Moderate
510,compile information on content and context of information to be translated and on intended audience.,Translation Specialist,Compile information on the content and context of translated information as well as the intended audience to ensure accurate translation and effective communication.,"Various Locations (e.g., offices, remote locations)",Mid-Level,Other Services,The user wants to prepare comprehensive information for translators about what they are translating and the target audience for better accuracy and effectiveness of their work.,Moderate
511,compile information on governmental incentive programs related to the installation of energy or water saving plumbing systems or devices.,Specialist or Analyst,To compile information on governmental incentive programs related to the installation of energy or water saving plumbing systems or devices.,"Office environment (likely a research, consulting, or regulatory setting)",Mid-Level,Other Services,The user was trying to gather comprehensive information on governmental incentive programs for installing energy and water-saving plumbing systems for future use in educational materials or reports.,Moderate
512,compile information or prepare reports on nanotechnology experiments or applications.,Research Analyst,Compile information or prepare reports on nanotechnology experiments or applications.,"Various locations including laboratories, offices, and research facilities.",Specialist,Manufacturing,To gather and analyze data related to nanotechnology for potential applications and market analysis.,Moderate
513,compile laboratory test data and perform appropriate analyses.,Laboratory Technician,Compile laboratory test data and perform appropriate analyses.,Laboratory setting within a hospital or research institution,Mid-level,Manufacturing,"The user is compiling and analyzing laboratory test data to gain insights for future experiments, quality control purposes, or patient care.",Moderate
514,compile lists describing product or service offerings.,Product Manager,Create lists describing product or service offerings.,Office environment,Mid-level,Manufacturing,"The user is attempting to organize and present products or services for potential marketing, sales, or internal use.",Easy
515,"compile lists of books, periodicals, articles, and audio-visual materials on particular subjects.",Librarian or Information Researcher,"To compile lists of books, periodicals, articles, and audio-visual materials on particular subjects for reference or educational purposes.",Library or Academic Institution,Specialist,Information,"The user is looking to gather specific resources related to a subject for research, teaching, or library management.",Moderate
516,"compile medical care and census data for statistical reports on diseases treated, surgery performed, or use of hospital beds.",Data Analyst or Statistician,"Compile medical care and census data for statistical reports on diseases treated, surgery performed, or use of hospital beds.",Hospital or Medical Facility,Specialist,Education and Health Services,To generate accurate statistical reports on health services provided by the facility.,Moderate
517,compile or develop materials to submit to granting or other funding organizations.,Funding Application Specialist,Prepare materials to submit to granting or other funding organizations for approval and consideration.,"Various locations including the office, where applications are submitted in person or electronically, depending on the organization's policy.",Specialist,Other Services,"To secure funding for their research, project, or business venture by submitting a comprehensive and convincing application to potential sponsors.",Moderate
518,"compile reports, charts, or graphs that describe and interpret findings of analyses.",Data Analyst,"Compile reports, charts, or graphs that describe and interpret findings of analyses.",Office environment,Mid-level,Manufacturing,To summarize the analysis results in a comprehensive report for stakeholders to understand the findings and implications.,Moderate
519,"compile scripts, program notes, and other material related to productions.",Production Support Specialist,"Compile scripts, program notes, and other production-related materials","Various locations depending on the productions (e.g., studios, event spaces)",Mid-Level,Manufacturing,To organize and consolidate all necessary materials for various productions efficiently.,Moderate
520,"compile statistical, financial, accounting, or auditing reports and tables pertaining to such matters as cash receipts, expenditures, accounts payable and receivable, and profits and losses.",Accountant or Financial Analyst,"Compile statistical, financial, accounting, or auditing reports and tables pertaining to cash receipts, expenditures, accounts payable and receivable, and profits and losses.",Office,Specialist,Financial Activities,"To generate comprehensive financial reports for internal use based on cash flow data, accounting records, and other relevant financial information.",Moderate
521,"compile terminology and information to be used in translations, including technical terms such as those for legal or medical material.",Translation Specialist,"Compile terminology and information for translation, including technical terms like legal or medical material.",Office,Specialist,Professional Services,To create a comprehensive glossary of specialized terms needed for accurate translations in the fields of law and medicine.,Moderate
522,"compile, administer, and grade examinations or assign this work to others.",Examination Administrator,"Compile, administer, and grade examinations or assign these tasks to others.",Office/Testing Environment,Mid-Level,Manufacturing,"To manage the testing process including examination compilation, administration, grading, and task delegation as needed.",Moderate
523,"compile, administer, and grade examinations, or assign this work to others.",Examination Administrator,"Compile, administer, and grade examinations, or assign these tasks to others.",Office/Testing Center,Mid-Level,Manufacturing,To manage the examination process efficiently by either handling it personally or delegating the task appropriately.,Moderate
524,"compile, analyze, and report data to explain economic phenomena and forecast market trends, applying mathematical models and statistical techniques.",Data Analyst,"To compile, analyze, and report data to explain economic phenomena and forecast market trends using mathematical models and statistical techniques.",Various locations including offices or remote work environments depending on the company's setup.,Specialist,Financial Activities,The user was trying to gather and analyze economic data with the aim of understanding market trends and phenomena through financial analysis methods.,Moderate
525,"compile, log, or record testing or operational data for review and further analysis.",Data Analyst,"Compile, log, or record testing or operational data for review and further analysis.","Various locations depending on the specific setting (e.g., office, manufacturing plant, laboratory)",Specialist,Manufacturing,To document and organize operational or test data for potential future analysis and decision-making.,Moderate
526,"compile, record, and code results or data from interview or survey, using computer or specified form.",Data Entry Specialist,"Compile, record, and code results or data from interview or survey using computer or specified form.",Office environment with access to computers and forms for recording data,Mid-Level,Manufacturing,The user was trying to compile interview or survey responses into a usable format for further analysis or reporting.,Moderate
527,"compile, record, and evaluate personal and financial data to verify completeness and accuracy, and to determine eligibility status.",Data Analyst,Verify completeness and accuracy of personal and financial data to determine eligibility status.,Office or Home Office (depending on company policy),Mid-Level,Financial Activities,To ensure the correctness and sufficiency of personal and financial information for eligibility purposes in a professional setting.,Moderate
528,"compile, sort and verify the accuracy of data before it is entered.",Data Compiler and Verifier,"To compile, sort, and verify the accuracy of data before it is entered for further use or analysis.","Not specified, can be in an office setting or any environment where data entry occurs.",Mid-level,Manufacturing,To ensure that the compiled and verified data is accurate before it is entered into a database for use by other departments or systems.,Moderate
529,"complete administrative tasks, such as entering orders into computer, answering telephone calls, or maintaining medical or facility information.",Administrative Assistant,"Perform administrative tasks such as entering orders into a computer system, answering telephone calls, or maintaining medical/facility information.","Various settings including offices, hospitals, and facilities.",Mid-level,Professional Services,The user is trying to perform various administrative tasks required for efficient operation in an office setting.,Moderate
530,"complete and maintain accurate records or reports regarding the patients' histories and progress, services provided, or other required information.",Healthcare Record Keeper,"Complete and maintain accurate records or reports regarding patients' histories, progress, services provided, or other required information.",Hospital / Clinic,Mid-Level,Other Services,"To ensure that all necessary patient-related documentation is comprehensive, accurate, and up-to-date for compliance purposes.",Moderate
531,complete customs paperwork.,Customs Clerk,Complete all necessary customs paperwork for goods imported or exported.,"Warehouse/Factory, often in an office setting when dealing with documentation and permits",Mid-Level,Wholesale Trade,To ensure that the import/export process complies with all customs regulations and to facilitate smooth passage of goods through customs.,Moderate
532,complete form letters in response to requests or problems identified by correspondence.,Administrative Assistant,To draft and complete form letters in response to requests or problems identified through correspondence.,Office environment,Mid-level,Manufacturing,The user wants to ensure that all responses to inquiries are standardized and professionally communicated.,Moderate
533,complete insurance or other claim forms.,Insurance Claim Processor or Claims Clerk,Complete insurance claim forms to process claims and ensure customer satisfaction.,"Workplace (e.g., office)",Mid-Level,Manufacturing,To process an insurance claim effectively and efficiently for a customer or client.,Moderate
534,"complete loan applications, including credit analyses and summaries of loan requests, and submit to loan committees for approval.",Loan Processor,"Complete loan applications, conduct credit analyses, and prepare summaries for submission to loan committees.",Office or remotely within a financial institution's environment,Mid-level,Financial Activities,To facilitate the approval process for loans by providing comprehensive application materials including necessary assessments.,Moderate
535,"complete models and simulations, using manual or automated tools, to analyze or predict system performance under different operating conditions.",Modeler or Data Analyst,Complete models and simulations to analyze or predict system performance under different operating conditions using manual or automated tools,Office environment with access to computational resources,Specialist,Manufacturing,To evaluate system performance across various operational scenarios for optimization purposes.,Moderate
536,"complete work schedules, manage calendars, and arrange appointments.",Office Administrator or Scheduler,"Complete work schedules, manage calendars, and arrange appointments efficiently.",Various locations including office spaces for individuals and teams within a company structure.,Mid-level to Senior,Manufacturing,To ensure effective time management and organization of scheduling activities for personal or team use.,Moderate
537,comply with traffic regulations to operate vehicles in a safe and courteous manner.,Driver,Operate vehicles safely and courteously in accordance with traffic regulations.,"Public roads or designated vehicle usage areas (e.g., parking lots, highways)",Entry-level,Transportation,To ensure safe and courteous driving practices as part of their job responsibilities.,Easy
538,compose and edit scripts or provide screenwriters with story outlines from which scripts can be written.,Script Writer or Script Consultant,"Compose and edit scripts, provide story outlines to screenwriters for script creation.","Various locations including offices, at home (for remote work), on set during film production if applicable.",Professional Services Specialist,Information,To facilitate the development of screenplay ideas and ensure they meet quality standards for adaptation into scripts or movies.,Moderate
539,"compose and frame each shot, applying the technical aspects of light, lenses, film, filters, and camera settings to achieve the effects sought by directors.",Film and Video Production Assistant,"Compose and frame each shot by applying technical aspects of light, lenses, film, filters, and camera settings to achieve the director's vision.",Not specified in the task description,Mid-level,Manufacturing,To create visually appealing shots for a video or film project as per the director's requirements using technical expertise in photography and cinematography.,Moderate
540,"compose business correspondence for supervisors, managers, and professionals.",Business Correspondence Writer,"To compose business correspondence for supervisors, managers, and professionals",Office environment,Specialist,Professional Services,"The user is attempting to generate professional business letters and emails that are appropriate for supervisors, managers, and other professional individuals within an organization.",Moderate
541,compose correspondence requesting medical information and records.,Patient Advocate or Medical Record Requestor,Request medical information and records from a healthcare provider on behalf of the patient,"Hospital, Clinic, or Office where the patient is receiving treatment",Specialist,Other Services,The user intends to request medical information and records for their own health record or that of a loved one.,Easy
542,"compose descriptions of merchandise for posting to online storefront, auction sites, or other shopping web sites.",Content Writer for Online Merchandise Descriptions,"Compose descriptions of merchandise suitable for online storefronts, auction sites, or other shopping websites to attract and engage potential customers","Online marketplace, including web shops, e-commerce platforms, and auction sites",Specialist,Retail Trade,The user wants to create compelling product descriptions for various online retail channels.,Moderate
543,compose explanatory summaries of contents of books and other reference materials.,Content Writer,To compose explanatory summaries of contents of books and other reference materials.,"Various environments where the task can be performed, such as libraries, schools, or home offices.",Specialist,Information,To create concise summaries of book content for educational or informational purposes.,Moderate
544,"compose images of products, using video or still cameras, lighting equipment, props, or photo or video editing software.",Product Photographer,Create images of products using various tools and software,"Various (could be in a studio, outdoors, or any setting where the product can be photographed)",Specialist,Manufacturing,To create marketing materials for their products by providing visually appealing images to potential customers.,Moderate
545,"compose letters in reply to correspondence concerning such items as requests for merchandise, damage claims, credit information requests, delinquent accounts, incorrect billing, or unsatisfactory service.",Customer Service Representative,Compose letters in reply to correspondence concerning various customer issues and requests.,Office or Customer Support Center,Mid-Level,Retail Trade,To address and respond to customer inquiries and complaints effectively through written communication.,Moderate
546,"compose original music such as popular songs, symphonies, or sonatas.",Music Composer,"Compose original music such as popular songs, symphonies, or sonatas.",Not specified in the task description. It could be performed anywhere that a composer has access to create music.,Specialist,Information,"The user is trying to find someone who can compose original musical works including popular songs, symphonies, or sonatas.",Expert
547,compose songs or create vocal arrangements.,Musician or Composer,To compose songs or create vocal arrangements for musical pieces.,"Not specified, can be any environment conducive to music creation (e.g., home studio, recording booth, etc.).",Specialist,Other Services,The user is seeking a person or entity to compose songs or create vocal arrangements for musical pieces.,Moderate
548,"compose, type, and distribute meeting notes, routine correspondence, or reports, such as presentations or expense, statistical, or monthly reports.",Office Worker,"Compose, type, and distribute meeting notes, routine correspondence, or reports such as presentations or expense, statistical, or monthly reports.",Office,Professional Services,Information,"To ensure timely and accurate preparation of various types of documents for meetings, communications, and reporting purposes.",Moderate
549,"compound and dispense medications as prescribed by doctors and dentists, by calculating, weighing, measuring, and mixing ingredients, or oversee these activities.",Pharmacist,"compound and dispense medications as prescribed by doctors and dentists, while calculating, weighing, measuring, and mixing ingredients or overseeing these activities.",Hospital or Pharmacy setting,Professional Services,Manufacturing,To ensure the correct and timely distribution of medications to patients as per medical prescriptions.,Moderate
550,"compound, package, and label pharmaceutical products, under direction of pharmacist.",Pharmaceutical Product Packager,"Compound, package, and label pharmaceutical products under the supervision of a pharmacist.","Not specified in the task description, likely an office or laboratory setting where these tasks are performed.",Mid-level,Manufacturing,To produce packaged pharmaceutical products ready for distribution or use under medical supervision.,Moderate
551,"compute and analyze data, using statistical formulas and computers or calculators.",Data Analyst,Compute and analyze data using statistical formulas and computers or calculators.,Office,Specialist,Manufacturing,The user was trying to accomplish computing and analyzing data for a manufacturing company.,Moderate
552,"compute and verify totals on report forms, requisitions, or bills, using adding machine or calculator.",Financial Processor,"Compute and verify totals on report forms, requisitions, or bills using adding machine or calculator.",Office or Workstation,Specialist,Manufacturing,To ensure accuracy in financial transactions by computing and verifying totals for various documents.,Easy
553,compute costs of labor and materials in order to determine production costs of products and articles.,Production Cost Analyst,Compute labor and material costs to determine production costs of products and articles.,Factory or Workshop Environment,Specialist,Manufacturing,To accurately calculate the cost components involved in producing various products for financial planning purposes.,Moderate
554,"compute customer's installation or production costs and estimate savings from new services, products, or equipment.",Cost Analyst,"Calculate customer's installation or production costs and estimate savings from new services, products, or equipment.","Various locations depending on the specific project or environment (office, factory, etc.)",Specialist,Manufacturing,To understand potential financial impacts of new investments for a customer to make informed decisions.,Moderate
555,"compute data such as gear dimensions and machine settings, applying knowledge of shop mathematics.",Manufacturing Engineer,"Compute data such as gear dimensions and machine settings, applying knowledge of shop mathematics.",Factory,Specialist,Manufacturing,The user was trying to compute gear dimensions and machine settings using shop mathematics for manufacturing purposes.,Moderate
556,"compute dimensions, areas, volumes, and weights.",Generalist,"To compute various measurements and quantities such as dimensions, areas, volumes, and weights.",Flexible (can be performed virtually or on-site in any setting),Mid-Level,Manufacturing,The user intends to calculate physical measurements for a manufacturing or construction project.,Moderate
557,"compute estimates and actual costs of factors such as materials, labor, or outside contractors.",Cost Estimator,"Compute estimates and actual costs of materials, labor, or outside contractors.","Diverse (could be an office, warehouse, construction site, etc.)",Specialist,Manufacturing,"To accurately assess the financial aspects related to project planning and execution for materials, labor, or outside services.",Moderate
558,"compute figures such as balances, totals, or commissions.",Accountant,"Compute figures such as balances, totals, or commissions for financial reporting purposes.",Office environment,Mid-level,Financial Activities,The user is trying to obtain accurate financial data such as balances and commissions for their company's financial statements.,Moderate
559,"compute final estimation of property values, taking into account such factors as depreciation, replacement costs, value comparisons of similar properties, and income potential.",Real Estate Appraiser,"Compute the final estimation of property values considering depreciation, replacement costs, value comparisons of similar properties, and income potential.",Not specified; could be performed in an office or remotely for various locations' properties,Specialist,Real Estate,"To determine the accurate valuation of a property by incorporating multiple factors such as depreciation, replacement costs, similar property values, and income potential.",Moderate
560,"compute financial fees, interest, and service charges.",Financial Analyst,"Compute financial fees, interest, and service charges for various clients or projects.",Office environment,Specialist,Financial Activities,"The user is trying to calculate financial fees, interest rates, and service charges in order to provide accurate financial information for decision-making processes.",Moderate
561,compute impedance of wires from poles to houses to determine additional resistance needed for reducing signals to desired levels.,Electrical Engineer,Determine the impedance of wires from poles to houses to ensure signals are reduced to desired levels for proper functioning.,"In an electrical engineering or construction site, possibly indoors in a laboratory or office setting with access to tools and instruments.",Specialist,Manufacturing,To determine the impedance of wires from poles to houses so that signals can be adjusted for optimal performance and reduced levels.,Moderate
562,"compute layout dimensions, and determine and mark reference points on metal stock or workpieces for further processing, such as welding and assembly.",Metal Fabricator or Welder,Compute layout dimensions and mark reference points on metal stock or workpieces for further processing like welding and assembly.,Factory or Workshop,Specialist,Manufacturing,The user wants to ensure that the metal pieces are properly marked before they proceed with welding and assembly processes.,Moderate
563,"compute moisture or salt content, percentages of ingredients, formulas, or other product factors, using mathematical and chemical procedures.",Chemist,"Calculate moisture or salt content, percentages of ingredients, formulas, or other product factors using mathematical and chemical procedures.",Laboratory/Research Facility,Specialist,Manufacturing,To determine the precise moisture or salt content levels in various products through precise analytical methods.,Moderate
564,"compute or estimate cash, payroll, transportation, personnel, or storage requirements.",Business Analyst,"Compute or estimate cash, payroll, transportation, personnel, or storage requirements for operational efficiency and planning.","Various Business Settings (e.g., office, factory)",Mid-Level,Manufacturing,To ensure accurate financial management by estimating various operational costs in a manufacturing setting.,Moderate
565,compute or record photonic test data.,Photonic Test Technician,To compute or record photonic test data accurately and promptly.,Laboratory/Research Facility,Mid-Level,Manufacturing,The user is trying to obtain accurate photonic test data for further analysis or quality control purposes.,Moderate
566,"compute prices for services and receive payment, or provide supervisors with billing information.",Billing Specialist,Compute prices for services and provide billing information to supervisors or receive payment from clients,"Office environment, possibly remote work",Mid-level,Financial Activities,To accurately compute service charges and ensure proper billing and payment processing within the organization.,Moderate
567,compute total charges for merchandise or services and shipping charges.,Accounts Payable Specialist,Calculate total charges for merchandise or services and shipping charges.,Office Environment,Mid-Level,Manufacturing,"To determine the total cost of purchased goods or services, including any additional fees, for accounting purposes.",Moderate
568,"compute wages and deductions, and enter data into computers.",Payroll Clerk,"Calculate wages and deductions, and input the data into a computer system.",Office or any workplace with access to computers for payroll processing.,Mid-level,Financial Activities,"To process employees' payroll accurately and efficiently by calculating their wages along with deductions such as taxes, insurance, and benefits, and then inputting this information into a computer system for record-keeping purposes.",Moderate
569,"conduct and score oral, visual, written, or performance tests to determine applicant qualifications and notify applicants of their scores.",Test Administrator,"Conduct and score oral, visual, written, or performance tests to determine applicant qualifications and notify applicants of their scores.","Various Testing Environments (e.g., Office, Interview Rooms)",Specialist,Professional Services,Evaluate the skills and qualifications of job candidates through standardized assessments and provide them with feedback on their performance.,Moderate
570,"conduct applied research aimed at improvements in areas such as disease testing, crop quality, pharmaceuticals, and the harnessing of microbes to recycle waste.",Researcher,"Conduct applied research aimed at improvements in areas such as disease testing, crop quality, pharmaceuticals, and the harnessing of microbes to recycle waste.","Various research facilities, laboratories, universities, government agencies, and industrial settings",Specialist,Research & Development,"The user was trying to find out more about potential employment opportunities in applied research focused on improving health diagnostics, agriculture, pharmaceuticals, and environmental waste management.",Moderate
571,"conduct chemical analyses of substances such as acids, alcohols, and enzymes.",Chemical Analyst,"Conduct chemical analyses of substances such as acids, alcohols, and enzymes.",Laboratory or Research Facility,Specialist,Manufacturing,The user is attempting to obtain accurate chemical analysis results for different substances in a laboratory setting.,Moderate
572,"conduct chemical or physical laboratory tests to assist scientists in making qualitative or quantitative analyses of solids, liquids, or gaseous materials.",Laboratory Technician,Conduct chemical or physical laboratory tests to assist scientists in making qualitative or quantitative analyses of materials,Laboratory,Specialist,Manufacturing,To perform tests that will help scientists analyze materials accurately.,Moderate
573,"conduct classes, workshops, and demonstrations to teach principles, techniques, or methods in subjects, such as basic english language skills, life skills, and workforce entry skills.",Instructor or Educator,"Teach principles, techniques, or methods in subjects such as basic English language skills, life skills, and workforce entry skills to students, participants, or apprentices.","School, Community Center, Training Institute",Specialist,Education and Health Services,To provide training and education in various subjects for individuals looking to improve their skill set or gain entry-level workforce skills.,Moderate
574,"conduct classes, workshops, and demonstrations, and provide individual instruction to teach topics and skills such as cooking, dancing, writing, physical fitness, photography, personal finance, and flying.",Educator or Trainer,"Teach various topics and skills through classes, workshops, demonstrations, and individual instruction.","Schools, Community Centers, Workshops, Public Events",Specialist,Education Services,"The user was trying to find or set up a teaching position that covers multiple subjects such as cooking, dancing, writing, personal finance, etc.",Moderate
575,"conduct clinical research on topics such as maternal or infant health care, contraceptive methods, breastfeeding, and gynecological care.",Clinical Researcher,"Conduct clinical research on topics related to maternal or infant health care, contraceptive methods, breastfeeding, and gynecological care.",Research laboratory/hospital setting,Specialist,Health Services,"The user was trying to find a clinical researcher who specializes in areas related to maternal or infant health care, contraceptive methods, breastfeeding, and gynecological care.",Moderate
576,"conduct demonstrations to teach such skills as sports, dancing, and handicrafts.",Demonstrator,"Teach skills such as sports, dancing, and handicrafts to participants who are learning or improving these activities.","Various venues where demonstrations can take place (e.g., schools, community centers, parks, etc.)",Specialist,Education Services,"To provide instruction and practice sessions on various sports, dancing, and handicrafts to enhance participants' skills.",Moderate
577,conduct educational programs that provide farmers or farm cooperative members with information that can help them improve agricultural productivity.,Educational Programs Coordinator,Provide farmers or farm cooperative members with information to improve agricultural productivity.,"Farm Co-operatives, Agricultural Fields, Community Centers, etc.",Specialist,Agriculture,The user aims to enhance the agricultural practices of farmers and farm cooperative members for better productivity.,Moderate
578,conduct experimental or virtual studies to investigate characteristics and processing principles of potential microelectromechanical systems (mems) technology.,Researcher or Engineer,Investigate characteristics and processing principles of potential microelectromechanical systems (MEMS) technology through experimental or virtual studies,Laboratory or Research Facility,Specialist,Manufacturing,To understand the fundamental aspects and development path of MEMS technology for potential applications.,Moderate
579,"conduct fact-finding or mediation sessions among government units, landowners, or other agencies to resolve disputes.",Mediator or Negotiator,"Resolve disputes among government units, landowners, or other agencies by conducting fact-finding or mediation sessions.",Office or conference room (various locations based on dispute location),Specialist,Professional Services,"To mediate and resolve disputes between various stakeholders to maintain harmony and facilitate cooperation among government units, landowners, or other agencies.",Moderate
580,conduct family medical studies to evaluate the genetic basis for traits or diseases.,Researcher,Conduct family medical studies to evaluate the genetic basis for traits or diseases,"Laboratory, Research Institute, Hospital Genetics Department",Specialist,Education and Health Services,The user is seeking a researcher who can conduct comprehensive studies on genetic traits and diseases within families to understand their hereditary components.,Moderate
581,"conduct field surveys or study maps, graphs, diagrams, or other data to identify and correct power system problems.",Power System Technician or Engineer,"Identify and correct power system problems through field surveys, study of data sources, and analysis.","Any location relevant to the specific power distribution network (e.g., various substations, transmission lines, customer sites, etc.)",Specialist,Manufacturing,To ensure efficient operation of a power system by diagnosing and repairing malfunctions.,Moderate
582,conduct financial modeling for online marketing programs or web site revenue forecasting.,Financial Analyst,Conduct financial modeling for online marketing programs or web site revenue forecasting.,"Various locations depending on the company and project scope (e.g., office, remote work)",Specialist,Financial Activities,The user is trying to forecast financial outcomes for online marketing programs or web site revenues to inform business strategies.,Moderate
583,"conduct historical research as a basis for the identification, conservation, and reconstruction of historic places and materials.",Historical Researcher,"Identify, conserve, and reconstruct historic places and materials based on historical research.","Various locations including archives, museums, historical sites, etc.",Specialist,Other Services,To gather comprehensive historical data for the preservation of historic artifacts and buildings.,Moderate
584,"conduct historical research, and publish or present findings and theories.",Historical Researcher,"Conduct historical research, publish or present findings and theories.","Various locations including libraries, archives, online databases, etc.",Specialist,Other Services,The user wants to conduct in-depth research on a specific historical topic and disseminate the results of that research through publications or presentations.,Moderate
585,"conduct in-depth investigations of suspicious financial activity, such as suspected money-laundering efforts.",Financial Analyst,Conduct thorough investigations into suspicious financial activity related to potential money laundering efforts.,"Office Environment (e.g., Corporate Headquarters, Data Centers)",Specialist,Financial Activities,To identify and prevent suspected money-laundering activities through rigorous financial investigations.,Moderate
586,conduct internet-based and library research.,Researcher,Conduct internet-based and library research to gather information for a specific project or task.,Online (internet and libraries),Specialist,Information,To find relevant information for a project through online research methods.,Moderate
587,"conduct logical analyses of business, scientific, engineering, and other technical problems, formulating mathematical models of problems for solution by computers.",Data Analyst,"Conduct logical analyses of business, scientific, engineering, and other technical problems by formulating mathematical models for computer solutions.",Office or remote (depending on job setup),Specialist,Professional Services,To understand complex problem-solving techniques in various fields through computational modeling.,Moderate
588,"conduct market research analysis to identify search query trends, real-time search and news media activity, popular social media topics, electronic commerce trends, market opportunities, or competitor performance.",Market Research Analyst,"Conduct market research analysis to identify search query trends, real-time search and news media activity, popular social media topics, electronic commerce trends, market opportunities, or competitor performance.","Various locations including offices, data centers, etc., depending on the availability of resources for internet searches and analytics tools",Specialist,Information,The user is trying to obtain insights into various aspects of the market to make informed decisions or identify potential opportunities.,Moderate
589,conduct market research and analyze industry trends.,Market Research Analyst,Conduct market research and analyze industry trends to provide insights for business decisions.,"Various locations such as offices, data centers, or remote work environments based on company policy.",Specialist,Other Services,To gather information about the market and analyze industry trends to support business strategies and decision-making.,Moderate
590,conduct materials test and analysis using tools and equipment and applying engineering knowledge.,Materials Tester,Conduct materials test and analysis using tools and equipment and applying engineering knowledge.,"Not specified in the task description, could be a laboratory or any environment where material testing is conducted.",Specialist,Manufacturing,To conduct tests on materials to ensure they meet quality standards and are safe for use.,Moderate
591,"conduct meteorological research into the processes or determinants of atmospheric phenomena, weather, or climate.",Meteorologist,"Conduct meteorological research into the processes or determinants of atmospheric phenomena, weather, or climate.","Generally in a laboratory setting, but can also include fieldwork at various geographical locations.",Specialist,Other Services,To gather and analyze data related to meteorological processes for understanding atmospheric phenomena and weather patterns.,Moderate
592,"conduct nutritional assessments of individuals, including obtaining and evaluating individuals' dietary histories, to plan nutritional programs.",Nutrition Consultant,Conduct nutritional assessments of individuals to plan nutritional programs based on dietary histories.,Office or Clinic setting where nutrition assessments can be conducted.,Specialist,Professional Services,To provide personalized nutritional plans for individuals based on their dietary history and health needs.,Moderate
593,"conduct office automation feasibility studies, including workflow analysis, space design, or cost comparison analysis.",Office Automation Specialist,"Conduct feasibility studies for office automation, including workflow analysis, space design, or cost comparison analysis.",Office,Specialist,Information,To evaluate the feasibility and implementation plan for office automation systems within a company.,Moderate
