Unnamed: 0,task_name,role,goal,location,company_level,fred_category,user_intent,difficulty
1085,"develop financial plans, based on analysis of clients' financial status.",Financial Planner,Develop financial plans based on analysis of clients' financial status.,"Various locations including client homes, offices, or remote settings as needed for consultation and data gathering.",Professional (mid-level to senior depending on specialization and years of experience),Financial Activities,"To assist clients in managing their finances effectively by creating tailored financial plans based on their current status, goals, and risk tolerance.",Moderate
1086,"develop formal documentation for microelectromechanical systems (mems) devices, including quality assurance guidance, quality control protocols, process control checklists, data collection, or reporting.",Documentation Specialist for MEMS Devices,"Develop formal documentation for microelectromechanical systems (MEMS) devices, including quality assurance guidance, quality control protocols, process control checklists, data collection, or reporting.",Factory/Manufacturing Environment,Specialist,Manufacturing,To create comprehensive documentation for microelectromechanical systems (MEMS) devices to ensure quality and compliance with manufacturing standards.,Moderate
1087,"develop graphics and layouts for product illustrations, company logos, and web sites.",Graphic Designer,"Develop graphics and layouts for product illustrations, company logos, and web sites.",Various (can be in an office setting or remotely),Specialist,Information,"The user aims to create visually appealing graphics and designs for various products, companies, and websites to enhance their appearance and effectiveness.",Moderate
1088,develop guidelines for procedures such as the management of viruses.,Virologist,"Develop guidelines for the management of viruses including protocols, procedures, and best practices in various settings such as laboratories or healthcare facilities.","Various laboratory and healthcare settings (e.g., hospitals, research labs, clinics)",Specialist,Health Services,"Create comprehensive guidelines for the management of viruses across different contexts to ensure effective prevention, containment, and treatment.",Moderate
1089,"develop ideas for creating dances, keeping notes and sketches to record influences.",Dance Instructor or Choreographer,"Develop ideas for creating dances, keeping notes and sketches to record influences.","Studio, Dance Hall, or Classroom (depending on the setting of the person performing the task)",Specialist,Other Services,The user is trying to create new dance choreographies by developing ideas and recording them.,Moderate
1090,"develop ideas or material for columns or commentaries by analyzing and interpreting news, current issues, or personal experiences.",Journalist/Content Creator,"Develop ideas or material for columns or commentaries by analyzing and interpreting news, current issues, or personal experiences.","Various settings including newsrooms, freelance offices, etc.",Specialist,Other Services,"Generate content for media outlets such as newspapers, magazines, websites, or social media platforms related to current issues and personal insights.",Moderate
1091,develop in-service educational materials.,Educational Materials Developer,Develop in-service educational materials to enhance employee training and development within a company.,Office or Virtual Environment,Specialist,Professional Services,The user is trying to develop new learning resources for employees to improve their skills and knowledge in the workplace.,Moderate
1092,"develop individualized treatment plans for patients, considering patient preferences, clinical data, or the risks and benefits of therapies.",Doctor or Healthcare Professional,"Develop personalized treatment plans for patients considering their preferences, clinical data, and risks/benefits of therapies","Hospital, Clinic, Office",Specialist,Professional Services,Create tailored medical care solutions based on patient specifics to optimize health outcomes and satisfaction.,Moderate
1093,develop instruction or training roadmaps for online and blended learning programs.,Instructional Designer or Training Program Manager,To develop instruction or training roadmaps for online and blended learning programs.,"Various locations including but not limited to offices, schools, corporate environments, etc.",Specialist,Education Services,To create effective and structured instructional materials and schedules for various learning modalities such as online courses and blended programs.,Moderate
1094,develop instructional materials and conduct in-service and community-based educational programs.,Educational Instructor or Trainer,Develop instructional materials and conduct in-service and community-based educational programs,"Various settings including schools, communities, and workplaces",Specialist,Education and Health Services,To enhance the knowledge and skills of participants through the development of instructional materials and delivery of educational programs.,Moderate
1095,develop instructional materials and products for technology-based redesign of courses.,Instructional Designer,Develop instructional materials and products for technology-based redesign of courses.,"Various educational settings (e.g., schools, universities)",Specialist,Education and Health Services,To create modern and effective course materials using technology to improve learning outcomes.,Moderate
1096,develop instructional materials for the public and make presentations to citizens' groups to provide information on emergency plans and their implementation processes.,Public Information Officer or Community Educator,To develop instructional materials and conduct presentations for citizens' groups to educate on emergency plans and their implementation processes.,"Various locations including public spaces, community centers, schools, etc.",Specialist,Education Services,The user was trying to provide comprehensive educational materials and guidance on emergency planning for citizens' groups.,Moderate
1097,develop instructional materials to be used by educators and instructors.,Instructional Materials Developer,Develop instructional materials for educators and instructors to use in their teaching activities.,School or educational institution,Specialist,Education and Health Services,"To provide educators with high-quality, relevant instructional materials that enhance learning outcomes.",Moderate
1098,"develop instructional materials, such as lesson plans, handouts, or examinations.",Instructional Designer or Teacher,"Develop instructional materials such as lesson plans, handouts, or examinations to support learning and teaching processes.","School, University, or Training Center (varies)",Mid-level,Education and Health Services,To create educational resources that enhance the learning experience for students or trainees.,Moderate
1099,develop instrumentation and software for astronomical observation and analysis.,Instrumentation and Software Developer for Astronomy,Develop instrumentation and software for astronomical observation and analysis.,"Research or Observatory setting, possibly in a laboratory or on-site at an observatory facility",Specialist,Professional Services,Create tools for astronomers to enhance their observations and data analysis capabilities in the field of astronomy.,Moderate
1100,"develop internal control policies, guidelines, and procedures for activities such as budget administration, cash and credit management, and accounting.",Internal Control Specialist,"Develop internal control policies, guidelines, and procedures for budget administration, cash and credit management, and accounting activities.",Office environment,Specialist,Financial Activities,To establish robust internal controls to ensure the integrity of financial processes within the organization.,Moderate
1101,"develop interview techniques, rating scales, and psychological tests used to assess skills, abilities, and interests for the purpose of employee selection, placement, and promotion.",Human Resources Specialist,"Develop interview techniques, rating scales, and psychological tests for employee selection, placement, and promotion.",Office environment,Mid-level,Professional Services,"The user was trying to develop methods for evaluating candidates' skills, abilities, and interests to support the organization's hiring decisions.",Moderate
1102,"develop manuals, texts, workbooks, or related materials for use in conjunction with production materials or for training.",Content Creator or Content Developer,"Develop manuals, texts, workbooks, or related materials for use in conjunction with production materials or for training","Various locations such as offices, schools, and training centers",Specialist,Professional Services,To create educational resources that support the development and training processes of a product or service.,Moderate
1103,"develop manuals, texts, workbooks, or related materials for use in conjunction with production materials.",Content Developer,"Develop manuals, texts, workbooks, or related materials for use in conjunction with production materials.",Varies (can be office-based or field-dependent depending on the product),Specialist,Information,To create supporting educational and procedural documents to enhance understanding of production processes and usage instructions for products.,Moderate
1104,"develop marketing materials, proposals, or presentation to generate new work opportunities.",Marketing Specialist,"Generate new work opportunities through the development of marketing materials, proposals, or presentations","Various settings including but not limited to offices, digital platforms",Specialist,Professional Services,Increase business and generate new work opportunities by presenting compelling marketing materials and proposals.,Moderate
1105,develop marketing or strategic plans for sales territories.,Marketing or Sales Specialist,Develop marketing or strategic plans for sales territories.,"Diverse (could be office, remote, etc.)",Specialist/Senior,Retail Trade,To create effective marketing strategies to increase sales in specific regions or areas.,Moderate
1106,"develop marketing plans for finished products, collaborating with sales associates to supervise product distribution.",Marketing Specialist,Develop marketing plans for finished products and supervise their distribution.,Office Environment,Specialist,Manufacturing,To plan and oversee the marketing strategy for finished goods to ensure effective product distribution and sales.,Moderate
1107,develop marketing strategies to compete with other individuals or companies who sell insurance.,Marketing Specialist,Develop marketing strategies to compete with other insurance sellers.,"Office environment, potentially remote work setup",Specialist,Retail Trade,The user was trying to develop effective marketing strategies to differentiate themselves or their company from competitors in the insurance sales industry.,Moderate
1108,"develop master course documentation or manuals according to applicable accreditation, certification, or other requirements.",Course Developer,"Develop master course documentation or manuals according to applicable accreditation, certification, or other requirements.",Not specified in the task description,Specialist,Information,The user is trying to create comprehensive course materials that comply with relevant standards and certifications for a master course.,Moderate
1109,develop mathematical or statistical models of phenomena to be used for analysis or for computational simulation.,Mathematician or Statistician,Develop mathematical or statistical models of phenomena for analysis or computational simulation.,"Any setting where such models could be applied, including research labs, offices, and educational institutions.",Specialist,Manufacturing,"To create predictive models for analyzing various phenomena in fields like economics, biology, engineering, etc.",Moderate
1110,develop measurement tools to evaluate the effectiveness of instruction or training interventions.,Instructional Designer,Develop measurement tools to evaluate the effectiveness of instruction or training interventions,"Various settings including offices, educational institutions, corporate environments, etc.",Specialist,Professional Services,The user wants to develop methods and tools for assessing the impact and success of various instructional and training programs.,Moderate
1111,develop methodologies for transferring procedures or biological processes from laboratories to commercial-scale manufacturing production.,Research Scientist or Manufacturing Engineer,Develop methodologies for transferring procedures or biological processes from laboratories to commercial-scale manufacturing production.,Factory or Research Lab,Specialist,Manufacturing,To develop methods for scaling up laboratory processes to industrial levels suitable for mass production in a factory setting.,Moderate
1112,develop methods for integrating different products so they work properly together such as customizing commercial databases to fit specific needs.,Product Integration Specialist,"Develop methods for integrating different products to work together properly, including customizing commercial databases to fit specific needs.","Various locations (office, client sites, remote)",Specialist,Manufacturing,The user aims to improve the interoperability of different products and customize their database systems for better functionality and customer satisfaction.,Moderate
1113,"develop methods to improve employment policies, processes, and practices, and recommend changes to management.",Policy Analyst,"Develop methods to improve employment policies, processes, and practices and recommend changes to management.",Office or corporate setting,Specialist,Professional Services,To enhance employment-related policies within the organization for better efficiency and employee satisfaction,Moderate
1114,develop network-related documentation.,Documentation Writer,Develop network-related documentation to ensure clear and comprehensive instructions for users and maintainability of the network infrastructure.,Office or remote working environment (varies based on company policies),Specialist,Information,"The user aims to create detailed documentation about their network setup and usage, aiming for clarity and ease of use by stakeholders.",Moderate
1115,"develop new business by contacting potential clients, making sales presentations, and writing proposals.",Salesperson,"Develop new business by contacting potential clients, making sales presentations, and writing proposals.","Various locations including offices, client meetings, or online platforms",Mid-level,Retail Trade,The user aims to increase their company's customer base through effective sales strategies and business development efforts.,Moderate
1116,develop new chemical engineering processes or production techniques.,Chemical Engineer,Develop new chemical engineering processes or production techniques.,Factory or Research Lab,Specialist,Manufacturing,Create innovative methods to enhance chemical production efficiency and sustainability within the manufacturing industry.,Moderate
1117,develop new principles and new relationships between existing mathematical principles to advance mathematical science.,Mathematician,Develop new principles and establish relationships between existing mathematical principles to advance the field of mathematics.,Research laboratory or university setting,Expert,Other Services,To contribute to the advancement of mathematical science by creating novel theories and applications.,Very Hard
1118,develop new recipes for baked goods.,Food Product Developer,Develop new recipes for baked goods.,"Various locations including kitchens, test kitchens, or development centers depending on the organization's infrastructure.",Specialist,Manufacturing,The user was trying to create innovative and appealing recipes for baked goods to enhance their product line.,Moderate
1119,develop new software applications or customize existing applications to meet specific scientific project needs.,Software Developer,Develop new software applications or customize existing applications to meet specific scientific project needs.,"Various locations such as offices, research labs, and data centers depending on the nature of projects (e.g., university campuses, government agencies, private corporations)",Specialist,Information,To create software solutions tailored to specific scientific project requirements.,Moderate
1120,develop new styles and techniques.,Innovator or Designer,Develop new styles and techniques,"Not specified, can be in various settings such as design studios, research labs, educational institutions, etc.",Specialist/Senior,Manufacturing,To innovate and create new methods or styles within their field of expertise,Moderate
1121,develop or analyze information to assess the current or future financial status of firms.,Financial Analyst,Develop or analyze information to assess the current or future financial status of firms.,"Office environment, often in corporate settings but could be anywhere with access to data and a computer.",Specialist,Financial Activities,To provide insights on firm's financial health for decision-making purposes.,Moderate
1122,develop or apply data mining and machine learning algorithms.,Data Scientist or Machine Learning Engineer,Develop or apply data mining and machine learning algorithms to improve data analysis and decision-making processes.,"Various locations depending on the specific project, such as office spaces, research labs, etc.",Specialist or Mid-Level,Information,To enhance their company's ability to use data for better insights and predictions through advanced analytics techniques.,Moderate
1123,"develop or approve project plans, schedules, or budgets.",Project Manager,"Develop or approve project plans, schedules, or budgets.","Various locations depending on the specific projects (e.g., office, remote)",Mid-level,Manufacturing,To ensure effective management and execution of projects within a company's budgetary constraints and timelines.,Moderate
1124,"develop or configure document management system features, such as user interfaces, access profiles, and document workflow procedures.",Information Technology Specialist,"Develop or configure document management system features including user interfaces, access profiles, and document workflow procedures.",Office environment,Specialist,Information,To enhance the functionality of a document management system within their organization for better user experience and improved workflow efficiency.,Moderate
1125,develop or coordinate fitness and wellness programs or services.,Fitness and Wellness Program Developer or Coordinator,Develop or coordinate fitness and wellness programs or services.,"Various settings such as gyms, hospitals, schools, etc., depending on the specific program context.",Specialist/Senior Specialist,Education and Health Services,The user was trying to establish or manage fitness and wellness programs within a facility or organization.,Moderate
1126,develop or deliver proposals or presentations on topics such as the purchase or sale of energy.,Energy Sales and Purchase Proposal Specialist,Develop or deliver proposals/presentations on energy purchase/sale topics to potential clients or stakeholders.,"Various locations including office spaces, client meetings, etc.",Mid-Level,Manufacturing,The user wants to communicate effectively about the purchasing and selling of energy products in a way that convinces potential clients or stakeholders to engage with their services.,Moderate
1127,develop or direct development of offering documents or marketing materials.,Content Developer,Develop or direct the development of offering documents or marketing materials.,"Various locations including offices, digital platforms, etc.",Specialist,Manufacturing,To create compelling content that effectively communicates products or services to potential customers and stakeholders.,Moderate
1128,develop or direct software system testing or validation procedures.,Software Quality Assurance Engineer,Develop or direct software system testing or validation procedures.,"Not specified, can be performed in various locations including office, remote work environments, etc.",Specialist,Information,To ensure the quality and reliability of a software system through effective testing methods and procedures.,Moderate
1129,develop or direct study courses or religious education programs within congregations.,Religious Educator or Course Developer,Develop or direct study courses or religious education programs within congregations.,Within congregations (religious organizations),Specialist,Education and Health Services,The user was trying to find out more information about roles involved in developing or directing religious education programs.,Moderate
1130,"develop or document reverse logistics management processes to ensure maximal efficiency of product recycling, reuse, or final disposal.",Supply Chain Manager,"Develop or document reverse logistics management processes to ensure maximal efficiency of product recycling, reuse, or final disposal.","Various locations including but not limited to a manufacturing facility, warehouse, distribution center, and potentially an office environment for documentation purposes.",Mid-level,Manufacturing,"The user is trying to ensure efficient processes in managing the return of products for recycling, reuse, or final disposal within a supply chain context.",Moderate
1131,develop or document style guidelines for web site content.,Content Strategist or Content Manager,Develop or document style guidelines for web site content to ensure consistency and quality across the website's written material.,Online (website development environment),Mid-level,Information,"To establish consistent writing styles, tone, and formatting standards for all website content in order to improve the overall readability, professionalism, and user experience of the site.",Moderate
1132,develop or implement data analysis algorithms.,Data Analyst,Develop or implement data analysis algorithms to improve decision-making and insights from data.,"Various work environments, including but not limited to offices with computer access, online platforms, etc.",Specialist,Information,To enhance the organization's ability to use data for strategic planning and operational improvements by developing or implementing sophisticated analysis algorithms.,Moderate
1133,develop or implement fund investment policies or strategies.,Financial Analyst,Develop or implement fund investment policies or strategies,Office Environment (Corporate Office),Specialist,Financial Activities,The user is trying to establish or refine the financial investment guidelines for a fund.,Moderate
1134,develop or implement marketing strategies.,Marketing Specialist,"Develop or implement marketing strategies to promote products, services, or brand awareness.",Various locations including physical offices and online platforms for digital marketing activities.,Specialist,Retail Trade,The user was trying to accomplish the development of marketing strategies that could potentially increase sales or brand visibility through various promotional channels.,Moderate
1135,develop or implement operating methods or procedures.,Employee or Team Lead,"Develop and implement operating methods or procedures to improve efficiency, standardize operations, or meet new regulatory requirements.","Various settings including offices, manufacturing plants, retail stores, etc.",Mid-level,Manufacturing,To enhance operational processes and ensure compliance with regulations or industry best practices.,Moderate
1136,develop or implement plans and procedures for ophthalmologic services.,Ophthalmologist Assistant,Develop or implement plans and procedures for ophthalmologic services.,Hospital/Ophthalmology Clinic,Specialist,Health Services,To improve the efficiency and quality of ophthalmologic services provided in a healthcare setting.,Moderate
1137,"develop or implement policies or practices to ensure the privacy, confidentiality, or security of patient information.",Healthcare Privacy Officer,"Ensure the privacy, confidentiality, or security of patient information through development or implementation of policies and practices.",Hospital or Healthcare Facility,Mid-level,Education and Health Services,To establish robust data protection measures to safeguard patient information in a healthcare setting.,Moderate
1138,"develop or implement policies, standards, or procedures for the architectural, scientific, or technical work performed to ensure regulatory compliance or operations enhancement.","Architectural, Scientific, or Technical Specialist","Develop or implement policies, standards, or procedures to ensure regulatory compliance or operations enhancement for architectural, scientific, or technical work","Varies by organization; could be in an office setting, field environments, etc.",Specialist,Manufacturing,"Ensure that the architectural, scientific, or technical work performed adheres to regulatory requirements and enhances operational efficiency through the development of policies, standards, or procedures.",Moderate
1139,develop or implement procedures for ongoing web site revision.,Web Developer or IT Specialist,Develop or implement procedures for ongoing web site revision to ensure website maintenance and updates are efficient and consistent.,"Online or within a company's IT department, depending on the scope of the revision process.",Specialist,Information,To maintain and improve a website by implementing regular revisions and updates to keep it current and functional.,Moderate
1140,develop or implement procedures or systems to evaluate or select suppliers.,Supplier Evaluation Specialist,Develop or implement procedures or systems to evaluate or select suppliers for a company's operations.,"Office setting, possibly involving remote interactions with potential suppliers and data analysis in the office environment.",Specialist,Manufacturing,The user is trying to establish effective supplier evaluation systems within their organization to ensure quality products and services are sourced efficiently and cost-effectively.,Moderate
1141,"develop or implement product-marketing strategies, including advertising campaigns or sales promotions.",Product Marketing Specialist,"Develop or implement product marketing strategies, including advertising campaigns or sales promotions.","Varies depending on the company and role (e.g., office, remote work)",Specialist,Information,The user was trying to hire someone who can develop marketing strategies for their products or services.,Moderate
1142,develop or implement quality control programs.,Quality Control Program Developer/Implementer,Develop or implement quality control programs to ensure product or service quality and consistency.,"Various settings including manufacturing, services organizations, and any industry requiring standardization of processes.",Specialist,Manufacturing,The user aims to establish robust quality control measures within their organization to maintain product or service standards and improve customer satisfaction.,Moderate
1143,develop or implement risk-assessment models or methodologies.,Risk-Assessment Specialist,Develop or implement risk-assessment models or methodologies.,"Various locations depending on the specific organization's environment (e.g., office, virtual workspace)",Specialist,Financial Activities,To develop a comprehensive risk assessment system to ensure operational and financial stability within an organization.,Moderate
1144,"develop or maintain applications that process biologically based data into searchable databases for purposes of analysis, calculation, or presentation.",Biological Data Processor,"Develop or maintain applications that process biologically based data into searchable databases for analysis, calculation, or presentation.","Various (could be in a laboratory, research institute, bioinformatics center, etc.)",Specialist,Information,The user was trying to acquire or improve an application capable of managing and searching through biological data.,Moderate
1145,"develop or maintain archived procedures, procedural codes, or queries for applications.",IT Specialist or Data Analyst,"Develop or maintain archived procedures, procedural codes, or queries for applications.",Office or IT Department,Specialist,Professional Services,"To ensure the proper functioning and maintenance of application-related procedures, codes, or queries to support organizational needs effectively.",Moderate
1146,"develop or maintain cost estimates, forecasts, or cost models.",Cost Estimator/Forecaster,"Develop or maintain cost estimates, forecasts, or cost models.","Various work environments depending on the industry (e.g., office, remote working)",Specialist,Manufacturing,To provide accurate financial projections for project costs and resource allocation in manufacturing industries.,Moderate
1147,develop or maintain internal or external company web sites.,Web Developer or Web Content Manager,Develop or maintain internal or external company web sites.,Office/Workplace,Specialist,Information,"The user was trying to accomplish the task of developing and maintaining an internal or external company website, likely to improve communication and business operations.",Moderate
1148,"develop or maintain models for logistics uses, such as cost estimating or demand forecasting.",Model Developer or Data Analyst for Logistics,Develop or maintain models related to logistics operations such as cost estimating and demand forecasting.,"Various settings including corporate offices, data centers, and sometimes field locations (e.g., warehouses, distribution centers)",Specialist,Manufacturing,To improve the efficiency and accuracy of logistics operations through advanced analytics and modeling.,Moderate
1149,develop or maintain online help documentation.,Documentation Writer or Support Specialist,"Develop and maintain online help documentation for a product, service, or application","Online (website, app, digital platform)",Specialist,Information,The user was trying to ensure that the online help documentation for their product or service is up-to-date and comprehensive.,Moderate
1150,develop or maintain payment systems to ensure accuracy of vendor payments.,Payment Systems Developer/Maintainer,Develop or maintain payment systems to ensure accuracy of vendor payments.,"Various locations depending on the organization's infrastructure, such as office environments for software development and management tasks, and possibly physical locations if interfacing with banking systems.",Specialist,Manufacturing,To ensure that vendor payments are made accurately and efficiently using payment system solutions developed or maintained by the individual in this role.,Moderate
1151,develop or maintain programs associated with automated production equipment.,Program Developer or Maintenance Technician,Develop or maintain programs associated with automated production equipment.,Factory or Manufacturing Plant,Specialist,Manufacturing,To ensure the efficiency and functionality of automated production systems through program development and maintenance.,Moderate
1152,develop or maintain project reporting systems.,Project Manager,Develop or maintain project reporting systems to ensure timely and accurate data dissemination for decision-making purposes.,"Various locations such as office spaces, remote work environments, etc.",Senior,Information,To create or enhance a system that monitors and reports project progress efficiently to stakeholders.,Moderate
1153,"develop or maintain standards, such as organization, structure, or nomenclature, for the design of data warehouse elements, such as data architectures, models, tools, and databases.",Data Architect,"Develop or maintain standards for the design of data warehouse elements such as data architectures, models, tools, and databases.",Various settings including but not limited to office environments where IT projects are developed and managed.,Specialist,Information,"The user was trying to establish a standardized approach for designing data warehouse components in order to ensure consistency, efficiency, and scalability of the organization's data management system.",Moderate
1154,develop or maintain supplier or customer relationships.,Supplier or Customer Relationship Manager,"Develop and maintain relationships with suppliers or customers to enhance business performance, customer satisfaction, and loyalty.","Various work settings such as offices, factories, warehouses, retail stores, etc., depending on the industry and specific tasks involved.",Specialist,Wholesale Trade,The user aims to establish and maintain strong relationships with suppliers or customers for business development and sustainability.,Moderate
1155,"develop or manage integrated security controls to ensure confidentiality, accountability, recoverability, or audit ability of sensitive information, proprietary information, or information technology resources.",Information Security Officer or Data Protection Specialist,"Develop or manage integrated security controls to ensure confidentiality, accountability, recoverability, or audit ability of sensitive information, proprietary information, or information technology resources.","Various work settings such as office environments, where IT resources are managed and protected.",Specialist,Professional Services,"To implement comprehensive security measures to protect valuable information from unauthorized access, ensuring its confidentiality, accountability, recoverability, or audit ability.",Moderate
1156,develop or monitor procedures to ensure adequate quality control of images.,Quality Control Specialist,Develop or monitor procedures to ensure adequate quality control of images.,"Not specified in the task description, but could apply to various contexts such as offices, production lines, etc.",Specialist,Professional Services,To establish and maintain effective procedures for ensuring high-quality image standards across relevant operations or products.,Moderate
1157,"develop or recommend network security measures, such as firewalls, network security audits, or automated security probes.",Network Security Specialist,"Develop or recommend network security measures, such as firewalls, network security audits, or automated security probes.",Various (network infrastructure),Specialist,Information,The user was trying to obtain advice on how to improve the network security of their system by implementing various security measures.,Moderate
1158,develop or review specifications for design or construction of security systems.,Security System Specialist or Engineer,Develop or review specifications for design or construction of security systems,"Varies, can be in an office setting, but also on-site at a facility or construction site",Specialist,Manufacturing,To ensure that the security system meets all necessary safety and compliance requirements for the intended environment.,Moderate
1159,"develop or revise business plans for online business, emphasizing factors such as product line, pricing, inventory, or marketing strategy.",Business Development Specialist,"Develop or revise business plans for online business, focusing on factors like product line, pricing, inventory, and marketing strategy.","Online (e.g., home office, shared workspace)",Specialist,Retail Trade,"The user was trying to create or improve the business plan for an online business by considering key factors such as product offerings, pricing strategies, inventory management, and marketing approaches.",Moderate
1160,develop or test new methods or models of transportation analysis.,Transportation Analyst,Develop or test new methods or models of transportation analysis.,"Varies, can be in an office setting but often involves fieldwork for data collection and research purposes.",Specialist,Transportation,The user was trying to identify or implement new methods for analyzing transportation systems to improve efficiency and effectiveness.,Moderate
1161,"develop or update procedures, policies, or standards.",Specialist,"Develop or update procedures, policies, or standards to enhance operational efficiency and compliance.",Office/Workplace,Mid-Level/Specialist,Professional Services,The user is trying to improve internal processes by developing or updating procedural guidelines within their organization.,Moderate
1162,"develop or update project plans for information technology projects including information such as project objectives, technologies, systems, information specifications, schedules, funding, and staffing.",Project Manager or IT Project Coordinator,"Develop or update project plans for information technology projects including key elements such as objectives, technologies, systems, specifications, schedules, funding, and staffing.",Office,Mid-Level,Information,"The user aims to create or refine project plans for IT initiatives by integrating various project details like objectives, technologies, systems, specifications, timelines, budget, and team composition.",Moderate
1163,"develop or use new non-destructive testing (ndt) methods such as acoustic emission testing, leak testing, and thermal or infrared testing.",Research Scientist or Engineer,"Develop and/or utilize new non-destructive testing methods such as acoustic emission testing, leak testing, and thermal/infrared testing.","Various settings including but not limited to research labs, manufacturing facilities, and industrial plants.",Specialist,Manufacturing,The user aims to advance the capabilities of non-destructive testing methods for quality assurance and safety in their organization or field.,Moderate
1164,"develop or validate specialized materials characterization procedures, such as thermal withstand, fatigue, notch sensitivity, abrasion, or hardness tests.",Researcher or Engineer,"Develop or validate specialized materials characterization procedures, such as thermal withstand, fatigue, notch sensitivity, abrasion, or hardness tests.",Laboratory or Testing Facility,Specialist,Manufacturing,The user was trying to ensure that specific material testing methods are efficient and accurate for product development.,Moderate
1165,"develop partnerships with businesses, communities, and other organizations to help meet identified educational needs and to provide school-to-work programs.",Education Partnership Coordinator,"Develop partnerships with businesses, communities, and other organizations to meet identified educational needs and provide school-to-work programs.","Various locations including schools, business districts, community centers, etc.",Specialist,Professional Services,To establish and maintain relationships with stakeholders that can support the development of comprehensive educational programs for students transitioning from school to work environments.,Moderate
1166,"develop plans and estimate costs for installation of systems, utilization of facilities, or construction of structures.",Project Manager or Engineer,"Develop plans and estimate costs for installation of systems, utilization of facilities, or construction of structures.","Varies by project (office, site, etc.)",Specialist,Construction,To oversee the planning and budgeting process for new installations or constructions within an organization or client's premises.,Moderate
1167,"develop plans or materials to communicate activities undertaken by organizations that are beneficial to the environment, public safety, or other important social issues.",Environmental or Public Safety Communications Specialist,"Develop plans or materials to communicate activities that benefit the environment, public safety, or other important social issues",Various (can be in any setting relevant to environmental/public safety communications),Specialist,Information,"The user was attempting to create communication plans and materials that highlight activities beneficial for the environment, public safety, or other significant social issues.",Moderate
1168,"develop plans to safeguard computer files against accidental or unauthorized modification, destruction, or disclosure and to meet emergency data processing needs.",Information Security Specialist,"Develop plans to safeguard computer files against accidental or unauthorized modification, destruction, or disclosure and to meet emergency data processing needs.",Office environment where IT systems are located,Mid-level,Other Services,"An Information Security Specialist wants to ensure the security of computer files by developing plans that prevent unauthorized access, modifications, destruction, and data leaks.",Moderate
1169,develop planting plans for clients to assist them to garden productively or achieve particular aesthetic effects.,Gardening Planner,Develop planting plans for clients to assist them in productive gardening or achieving aesthetic effects,"Not specified, but likely on-site at a client's property or within an office setting",Specialist,Agriculture,To provide strategic and detailed planting plans to clients for successful gardening efforts.,Moderate
1170,"develop preproduction ideas and incorporate them into outlines, scripts, story boards, and graphics.",Content Creator/Producer,"Develop preproduction ideas and incorporate them into outlines, scripts, story boards, and graphics.","Not specified in the task description, it could be performed in an office setting or remotely.",Specialist,Information,"To create content for various media formats including video, animation, and written materials based on preproduction ideas.",Moderate
1171,"develop pricing strategies, balancing firm objectives and customer satisfaction.",Pricing Strategy Developer,Develop pricing strategies that balance the firm's objectives and customer satisfaction.,"Various settings, often within an office environment where market analysis and strategic planning take place.",Specialist,Financial Activities,"To design pricing models that align with company goals while ensuring customer satisfaction is not compromised, in order to enhance profitability and market competitiveness.",Moderate
1172,"develop problem intervention procedures, using techniques such as interviews, consultations, role playing, and participant observation of group interactions.",Researcher or Problem Solver,"Develop problem intervention procedures through various methodologies like interviews, consultations, role-playing, and observing group interactions.","Various environments including offices, hospitals, schools, factories, etc., where relevant groups can be observed or engaged in a consultation setting.",Specialist,Professional Services,The user is aiming to establish effective intervention strategies for solving specific problems within an organization by utilizing diverse problem-solving techniques.,Moderate
1173,develop program plans for individuals or assist in plan development.,Program Developer,Develop program plans for individuals or assist in plan development.,"Various Locations (e.g., office, remote)",Specialist,Professional Services,The user was trying to find a specialist programmer who can develop programs or assist with the program development process.,Moderate
1174,develop programs or policy recommendations to achieve environmental goals in cost-effective ways.,Environmental Program Developer or Policy Analyst,Develop programs or policy recommendations to achieve environmental goals in cost-effective ways,"Various settings such as offices, corporate buildings, and potentially outdoor sites for fieldwork if needed",Specialist,Other Services,To develop sustainable environmental programs or policies that are both effective and financially feasible.,Moderate
1175,develop proposals that include documentation for estimates.,Proposal Developer,Develop proposals that include documentation for estimates.,Office/Workplace,Specialist/Senior,Manufacturing,Create comprehensive proposal documents including cost estimates for potential clients or projects.,Moderate
1176,develop protocols to improve existing genetic techniques or to incorporate new diagnostic procedures.,Research Scientist or Geneticist,Develop protocols to improve existing genetic techniques or to incorporate new diagnostic procedures.,"Research Lab, Laboratory Environment",Specialist,Manufacturing,To innovate and enhance genetic techniques for research and diagnostics purposes.,Moderate
1177,"develop relationships and communicate with customers, site managers, developers, land owners, authorities, utility representatives, or residents.",Relationship Manager or Customer Liaison,"Develop relationships and communicate with various stakeholders including customers, site managers, developers, land owners, authorities, utility representatives, or residents.","Various locations as needed (e.g., office, customer sites, public venues)",Specialist,Other Services,To establish and maintain professional relationships with a diverse set of stakeholders to facilitate projects or services efficiently and effectively.,Moderate
