,task_name
577,"compute, withhold, and account for all payroll deductions."
578,"conduct and score oral, visual, written, or performance tests to determine applicant qualifications and notify applicants of their scores."
579,"conduct applied research aimed at improvements in areas such as disease testing, crop quality, pharmaceuticals, and the harnessing of microbes to recycle waste."
580,"conduct chemical analyses of substances such as acids, alcohols, and enzymes."
581,"conduct chemical or physical laboratory tests to assist scientists in making qualitative or quantitative analyses of solids, liquids, or gaseous materials."
582,"conduct classes or deliver lectures on subjects such as nutrition, home management, and farming techniques."
583,"conduct classes, workshops, and demonstrations to teach principles, techniques, or methods in subjects, such as basic english language skills, life skills, and workforce entry skills."
584,"conduct classes, workshops, and demonstrations, and provide individual instruction to teach topics and skills such as cooking, dancing, writing, physical fitness, photography, personal finance, and flying."
585,"conduct clinical research on topics such as maternal or infant health care, contraceptive methods, breastfeeding, and gynecological care."
586,"conduct demonstrations to teach such skills as sports, dancing, and handicrafts."
587,conduct educational programs that provide farmers or farm cooperative members with information that can help them improve agricultural productivity.
588,"conduct electrocardiogram (ekg), phonocardiogram, echocardiogram, stress testing, or other cardiovascular tests to record patients' cardiac activity, using specialized electronic test equipment, recording devices, or laboratory instruments."
589,conduct experimental or virtual studies to investigate characteristics and processing principles of potential microelectromechanical systems (mems) technology.
590,"conduct fact-finding or mediation sessions among government units, landowners, or other agencies to resolve disputes."
591,"conduct field surveys or study maps, graphs, diagrams, or other data to identify and correct power system problems."
592,conduct financial modeling for online marketing programs or web site revenue forecasting.
593,conduct historical analyses of test results.
594,"conduct historical research as a basis for the identification, conservation, and reconstruction of historic places and materials."
595,"conduct historical research, and publish or present findings and theories."
596,"conduct in-depth investigations of suspicious financial activity, such as suspected money-laundering efforts."
597,conduct internet-based and library research.
598,"conduct logical analyses of business, scientific, engineering, and other technical problems, formulating mathematical models of problems for solution by computers."
599,"conduct market research analysis to identify search query trends, real-time search and news media activity, popular social media topics, electronic commerce trends, market opportunities, or competitor performance."
600,conduct market research and analyze industry trends.
601,conduct materials test and analysis using tools and equipment and applying engineering knowledge.
602,"conduct meteorological research into the processes or determinants of atmospheric phenomena, weather, or climate."
603,conduct needs assessments and strategic learning assessments to develop the basis for curriculum development or to update curricula.
604,"conduct nutritional assessments of individuals, including obtaining and evaluating individuals' dietary histories, to plan nutritional programs."
605,"conduct on-the-job training classes or training sessions to teach and demonstrate principles, techniques, procedures, or methods of designated subjects."
606,"conduct online marketing initiatives, such as paid ad placement, affiliate programs, sponsorship programs, email promotions, or viral marketing campaigns on social media web sites."
607,"conduct or oversee collection of corporate intelligence to avoid fraud, financial crime, cyber-attack, terrorism, and infrastructure failure."
608,conduct or support research and apply research findings to practice.
609,conduct periodic internal reviews or audits to ensure that compliance procedures are followed.
610,conduct private investigations on a paid basis.
611,conduct quality analyses of data inputs and resulting analyses or predictions.
612,conduct reference or background checks on job applicants.
613,"conduct reference searches, using printed materials and in-house and online databases."
614,conduct research and present scientific findings.
615,"conduct research in a particular field of knowledge and present findings in professional journals, books, electronic media, or at professional conferences."
616,"conduct research in a particular field of knowledge and publish findings in books, professional journals, or electronic media."
617,"conduct research in a particular field of knowledge and publish findings in professional journals, books, or electronic media."
618,"conduct research in a particular field of knowledge and publish findings in scholarly journals, books, or electronic media."
619,"conduct research on consumer opinions and marketing strategies, collaborating with marketing professionals, statisticians, pollsters, and other professionals."
620,conduct research on economic issues and disseminate research findings through technical reports or scientific articles in journals.
621,conduct research on new photonics technologies.
622,conduct research or provide instruction on subject matter related to athletic training or sports medicine.
623,"conduct research related to a range of nanotechnology topics, such as packaging, heat transfer, fluorescence detection, nanoparticle dispersion, hybrid systems, liquid systems, nanocomposites, nanofabrication, optoelectronics, or nanolithography."
624,"conduct research studies of physical work environments, organizational structures, communication systems, group interactions, morale, and motivation to assess organizational functioning."
625,"conduct research to determine best methods of planting, spraying, cultivating, harvesting, storing, processing, or transporting horticultural products."
626,"conduct research to develop methodologies, instrumentation, and procedures for medical application, analyzing data and presenting findings to the scientific audience and general public."
627,"conduct research to extend mathematical knowledge in traditional areas, such as algebra, geometry, probability, and logic."
628,conduct research to gather information about survey topics.
629,conduct research to generate new knowledge that can be used to address learning and behavior issues.
630,"conduct research, along with life scientists, chemists, and medical scientists, on the engineering aspects of the biological systems of humans and animals."
631,"conduct research, compile data, and prepare papers for consideration and presentation by executives, committees, and boards of directors."
632,conduct safety training or education programs and demonstrate the use of safety equipment.
633,"conduct searches to find needed information, using such sources as the internet."
634,"conduct seminars or workshops on financial planning topics, such as retirement planning, estate planning, or the evaluation of severance packages."
635,conduct short-term and long-term climate assessments and study storm occurrences.
636,conduct social research to advance knowledge in the social work field.
637,"conduct standardized biological, microbiological or biochemical tests and laboratory analyses to evaluate the quantity or quality of physical or chemical substances in food or other products."
638,"conduct standardized tests on food, beverages, additives, or preservatives to ensure compliance with standards and regulations regarding factors such as color, texture, or nutrients."
639,conduct statistical analyses to quantify risk using statistical analysis software or econometric models.
640,conduct statistical studies to analyze or compare production costs for sustainable and nonsustainable designs.
641,"conduct surveys and collect data, using methods such as interviews, questionnaires, focus groups, market analysis surveys, public opinion polls, literature reviews, and file reviews."
642,conduct surveys and evaluate findings to determine if systematic discrimination exists.
643,conduct testing to determine functionality or optimization or to establish limits of photonics systems or components.
644,"conduct threat or vulnerability analyses to determine probable frequency, criticality, consequence, or severity of natural or man-made disasters or criminal activity on the organization's profitability or delivery of products or services."
645,"conduct training programs to develop or maintain desired animal behaviors for competition, entertainment, obedience, security, riding, or related purposes."
646,"conduct training sessions on selection, use, and design of audio-visual materials and on operation of presentation equipment."
647,"conduct, or oversee the conduct of, chemical, physical, and biological water quality monitoring or sampling to ensure compliance with water quality standards."
648,"confer with board members, organization officials, or staff members to discuss issues, coordinate activities, or resolve problems."
649,"confer with client to determine factors affecting planning interior environments, such as budget, architectural preferences, and purpose and function."
650,confer with clients about their medical histories and problems with stress or pain to determine how massage will be most helpful.
651,confer with clients regarding the nature of the information processing or computation needs a computer program is to address.
652,"confer with clients to determine objectives, budget, background information, and presentation approaches, styles, and techniques."
653,"confer with clients to develop strategies for their careers, and to explain actions taken on their behalf."
654,confer with clients to discuss and determine layout design.
655,confer with clients to provide marketing or technical advice.
656,"confer with clients, editors, writers, art directors, and other interested parties regarding the nature and content of artwork to be produced."
657,"confer with clients, vendors, staff, and management personnel regarding purchases, product and production specifications, manufacturing capabilities, or project status."
658,confer with colleagues to formulate positions and strategies pertaining to pending issues.
659,"confer with company officials to develop methods and procedures to increase sales, expand markets, and promote business."
660,"confer with contractors, utility companies, or government agencies to discuss plans, specifications, or work schedules."
661,confer with customers and engineers to assess equipment needs and to determine system requirements.
662,"confer with customers by telephone or in person to determine reasons for overdue payments and to review the terms of sales, service, or credit contracts."
663,"confer with customers by telephone or in person to provide information about products or services, take or enter orders, cancel accounts, or obtain details of complaints."
664,confer with customers to assess customer needs or obtain feedback.
665,confer with customers to determine how to tailor materials to their needs.
666,confer with customers to determine project requirements or to provide cost estimates.
667,confer with customers to determine their service requirements and travel preferences.
668,confer with customers to determine types of material and garment styles desired.
669,confer with customers to obtain descriptions of vehicle problems and to discuss work to be performed and future repair requirements.
670,"confer with customers, read work orders, or examine vehicles needing repair to determine the nature and extent of damage."
671,"confer with customers, supervisors, contractors, or other personnel to exchange information or to resolve problems."
672,"confer with department heads or staff to discuss topics such as contracts, selection of advertising media, or product to be advertised."
673,"confer with disputants to clarify issues, identify underlying concerns, and develop an understanding of their respective needs and interests."
674,"confer with end users to define or implement clinical system requirements such as data release formats, delivery schedules, and testing protocols."
675,confer with engineering staff and consult specifications to evaluate interface between hardware and software and operational and performance requirements of overall system.
676,"confer with engineering, supervisory, or manufacturing personnel to exchange technical information."
677,"confer with engineers, customers, vendors, or others to discuss existing or potential electronics engineering projects or products."
678,"confer with establishment personnel, vendors, or customers to coordinate production or shipping activities and to resolve complaints or eliminate delays."
679,confer with labor relations managers to develop internal communications that keep employees informed of company activities.
680,"confer with legal staff to resolve problems, such as copyright infringement or royalty sharing with outside producers or distributors."
681,"confer with management or development teams to prioritize needs, resolve conflicts, develop content criteria, or choose solutions."
682,"confer with managerial or technical personnel, other departments, or contractors to resolve problems or to coordinate activities."
683,"confer with members of educational committees and advisory groups to obtain knowledge of subject areas and to relate curriculum materials to specific subjects, individual student needs, and occupational areas."
684,confer with other managers to identify trends or key group interests or concerns or to provide advice on business decisions.
685,"confer with other staff members to plan and schedule lessons promoting learning, following approved curricula."
686,"confer with parents or guardians, teachers, administrators, and other professionals to discuss children's progress, resolve behavioral, academic, and other problems, and to determine priorities for students and their resource needs."
687,"confer with parents or guardians, teachers, counselors, and administrators to resolve students' behavioral and academic problems."
688,"confer with parents, administrators, testing specialists, social workers, and professionals to develop individual educational plans designed to promote students' educational, physical, and social development."
689,confer with potential customers regarding equipment needs and advise customers on types of equipment to purchase.
690,confer with producers and directors concerning layout or editing approaches needed to increase dramatic or entertainment value of productions.
691,"confer with producers, performers, and others to determine and achieve the desired sound for a production, such as a musical recording or a film."
692,confer with research personnel to clarify or resolve problems and to develop or modify designs.
693,"confer with scientific, engineering, and technical personnel to resolve design, research, and testing problems."
694,"confer with scientists or engineers to conduct analyses of research projects, interpret test results, or develop nonstandard tests."
695,"confer with staff, users, and management to establish requirements for new systems or modifications."
696,"confer with supervisory personnel, owners, contractors, or design professionals to discuss and resolve matters, such as work procedures, complaints, or construction problems."
697,"confer with systems analysts, engineers, programmers and others to design system and to obtain information on project limitations and capabilities, performance requirements and interfaces."
698,"confer with taxpayers or their representatives to discuss the issues, laws, and regulations involved in returns, and to resolve problems with returns."
699,"confer with technical directors, managers, crew members, and writers to discuss details of production, such as photography, script, music, sets, and costumes."
700,"confer with the patient, medical practitioners, or appropriate others to plan, implement, or assess the intervention program."
701,confer with traders to identify and communicate risks associated with specific trading strategies or positions.
702,confer with underwriters to aid in resolving mortgage application problems.
703,"confer with users to analyze, configure, or troubleshoot applications."
704,"configure and define parameters for installation or testing of local area network (lan), wide area network (wan), hubs, routers, switches, controllers, multiplexers, or related networking equipment."
705,configure security settings or access permissions for groups or individuals.
706,configure servers to meet functional specifications.
707,configure wide area network (wan) or local area network (lan) routers or related equipment.
708,"configure, monitor, and maintain email applications or virus protection software."
709,"consider such factors as ensemble size and abilities, availability of scores, and the need for musical variety, to select music to be performed."
710,"construct, test, maintain, and repair substation relay and control systems."
711,"consult and coordinate with healthcare team members to assess, plan, implement, or evaluate patient care plans."
712,consult classification manuals to locate information about disease processes.
713,consult or negotiate with clients to prepare project specifications.
714,consult reference books or secure aid of readers to check references with rules of grammar and composition.
715,"consult reference material, such as textbooks, manuals, and journals, to identify symptoms, make diagnoses, and develop approaches to treatment."
716,"consult sources such as rate books, manuals, or insurance company representatives to determine specific charges or information such as rules, regulations, or government tax and tariff information."
717,consult tax law handbooks or bulletins to determine procedures for preparation of atypical returns.
718,"consult with and advise physicians, educators, researchers, government health officials and others regarding medical applications of sciences, such as physics, biology, and chemistry."
719,consult with and assist computer operators or system analysts to define and resolve problems in running computer programs.
720,consult with clients to assess risks and to determine security requirements.
721,consult with clients to determine functional or spatial requirements of structures.
722,"consult with clients to identify survey needs and specific requirements, such as special samples."
723,"consult with clients, vendors, personnel in other departments or construction foremen to discuss and formulate estimates and resolve issues."
724,"consult with company officials, sales departments, and advertising agencies to develop promotional plans."
725,consult with customers about software system design and maintenance.
726,"consult with customers or other departments on project status, proposals, or technical issues, such as software system design or maintenance."
727,"consult with customers to determine objectives and requirements for events such as meetings, conferences, and conventions."
728,"consult with engineering staff to evaluate interface between hardware and software, develop specifications and performance requirements, or resolve customer problems."
729,"consult with engineers to discuss and interpret design concepts, and determine requirements of detailed working drawings."
730,"consult with managerial, engineering, and technical personnel to clarify program intent, identify problems, and suggest changes."
731,consult with multiple stakeholders to define requirements and implement online features.
732,"consult with other health professionals to provide optimal patient care, referring patients to traditional health care professionals as necessary."
733,"consult with other professionals, agencies, or universities to discuss therapies, treatments, counseling resources or techniques, and to share occupational information."
734,consult with patients following radiation treatments to provide information and assess outcomes or to recommend further consultation or treatments as appropriate.
735,"consult with researchers to analyze problems, recommend technology-based solutions, or determine computational strategies."
736,"consult with users, administrators, and engineers to identify business and technical requirements for proposed system modifications or technology purchases."
737,"consult with users, management, vendors, and technicians to assess computing needs and system requirements."
738,"consult with users, management, vendors, and technicians to determine computing needs and system requirements."
739,"consult with writers, producers, or actors about script changes or ""workshop"" scripts, through rehearsal with writers and actors to create final drafts."
740,contact borrowers with delinquent accounts to obtain payment in full or to negotiate repayment plans.
741,"contact businesses or private individuals by telephone to solicit sales for goods or services, or to request donations for charitable causes."
742,contact creditors to explain clients' financial situations and to arrange for payment adjustments so that payments are feasible for clients and agreeable to creditors.
743,"contact customers by mail, telephone, or in person concerning acceptance or rejection of applications."
744,contact customers to persuade them to purchase merchandise or services.
745,contact customers to respond to inquiries or to notify them of claim investigation results or any planned adjustments.
746,contact insurance companies to check on status of claims payments and write appeal letters for denial on claims.
747,contact job applicants to inform them of the status of their applications.
748,contact new or existing customers to discuss how specific products or services can meet their needs.
749,contact organizations to explain services and facilities offered.
750,"contact prospective customers to determine customer needs, present information, or explain available services."
751,contact prospective customers to present information and explain available services.
752,"contact regular and prospective customers to demonstrate products, explain product features, and solicit orders."
753,"contribute to the compilation, organization, and production of protocols, clinical study reports, regulatory submissions, or other controlled documentation."
754,contribute written material or data for grant or patent applications.
755,control audio equipment to regulate the volume and sound quality during radio and television broadcasts.
756,"control, monitor, or operate equipment that regulates or distributes electricity or steam, using data obtained from instruments or computers."
757,"converse with customer to determine destination, mode of transportation, travel dates, financial considerations, and accommodations required."
758,"convert various types of files for printing or for the internet, using computer software."
759,convert video and audio recordings into digital formats for editing or archiving.
760,"cook food or prepare food items, such as sandwiches, salads, and ice cream dishes, using standard formulas or following directions."
761,coordinate activities with other departments to ensure that services are provided in an efficient and timely manner.
762,coordinate and direct extracurricular activities and programs such as after-school events and athletic contests.
763,"coordinate and implement quality control objectives, activities, or procedures to resolve production problems, maximize product reliability, or minimize costs."
764,coordinate and link the computer systems within an organization to increase compatibility and so information can be shared.
765,"coordinate and supervise extracurricular activities, such as clubs, student organizations, and academic contests."
766,coordinate appointments to show homes to prospective buyers.
767,"coordinate communication between patients, family members, medical staff, administrative staff, or regulatory agencies."
768,coordinate due diligence processes and the negotiation or execution of purchase or sale agreements.
769,"coordinate front-office activities of hotels or motels, and resolve problems."
770,coordinate implementation of computer system plan with establishment personnel and outside vendors.
771,"coordinate or conduct instructional classes or in-services, such as citizen police academy classes and crime scene training for other officers."
772,"coordinate planning, budgeting, or purchasing for all the food operations within establishments such as clubs, hotels, or restaurant chains."
773,"coordinate property closings, overseeing signing of documents and disbursement of funds."
774,"coordinate sales or other promotional strategies with merchandising, operations, or inventory control staff to ensure product catalogs are current, accurate, and organized for best findability against user intent."
775,"coordinate services for events, such as accommodation and transportation for participants, facilities, catering, signage, displays, special needs requirements, printing and event security."
776,"coordinate the activities of writers, directors, managers, and other personnel throughout the production process."
777,"coordinate with and consult other workers to design, lay out, or detail components and systems and to resolve design or other problems."
778,"coordinate with developers to optimize web site architecture, server configuration, or page construction for search engine consumption and optimal visibility."
779,"coordinate with engineers, planners, field personnel, or other utility workers to provide information such as clearances, switching orders, or distribution process changes."
780,coordinate with other marketing team members and workers such as graphic artists to develop and implement marketing programs.
781,correct errors by making appropriate changes and rechecking the program to ensure that the desired results are produced.
782,"correspond with customers and confer with coworkers to answer inquiries, discuss market fluctuations, or resolve account problems."
783,correspond with insured or agent to obtain information or inform them of account status or changes.
784,"correspond with online customers via electronic mail, telephone, or other electronic messaging to address questions or complaints about products, policies, or shipping methods."
785,counsel and encourage patients to develop leisure activities.
786,"counsel and provide guidance to students regarding personal, academic, vocational, or behavioral issues."
787,"counsel clients on personal and family financial problems, such as excessive spending or borrowing of funds."
788,"counsel clients or patients, individually or in group sessions, to assist in overcoming dependencies, adjusting to life, or making changes."
789,counsel employees about work-related issues and assist employees to correct job-skill deficiencies.
790,"counsel employees in work-related activities, personal growth, or career development."
791,"counsel individuals and groups on basic rules of good nutrition, healthy eating habits, and nutrition monitoring to improve their quality of life."
792,"counsel individuals and groups regarding problems, such as stress, substance abuse, and family situations, to modify behavior or to improve personal, social, and vocational adjustment."
793,"counsel individuals or groups concerning their spiritual, emotional, or personal needs."
794,"counsel individuals regarding interpersonal, health, financial, or religious problems."
795,"counsel individuals to help them understand and overcome personal, social, or behavioral problems affecting their educational or vocational situations."
796,"counsel or aid family members to assist them in understanding, dealing with, or supporting the client or patient."
797,"counsel patients about drug regimens and possible side effects or interactions with other substances such as food supplements, over-the-counter (otc) medications, or herbal remedies."
798,"counsel patients about nutrition, exercise, sleeping habits, stress management, or other matters."
799,"counsel students in the handling of issues such as family, financial, and educational problems."
800,"counsel students regarding educational issues, such as course and program selection, class scheduling and registration, school adjustment, truancy, study habits, and career planning."
801,"counsel students whose behavior, school progress, or mental or physical impairment indicate a need for assistance, diagnosing students' problems and arranging for needed services."
802,counsel workers about job and career-related issues.
803,"count cash and review transactions, sales checks, or register tapes to verify amounts or to identify shortages."
804,"create a grid of each site and draw and update maps of unit profiles, stratum surfaces, features, and findings."
805,create and enforce database development standards.
806,"create and maintain accessible, retrievable computer archives and databases, incorporating current advances in electronic information storage technology."
807,"create and manage documentation, production schedules, prototyping goals, and communication plans in collaboration with production staff."
808,"create and modify maps, graphs, or diagrams, using geographical information software and related equipment, and principles of cartography such as coordinate systems, longitude, latitude, elevation, topography, and map scales."
809,"create and prepare sketches and model drawings of cartoon characters, providing details from memory, live models, manufactured products, or reference materials."
810,"create basic designs, drawings, and illustrations for product labels, cartons, direct mail, or television."
811,"create business intelligence tools or systems, including design of related databases, spreadsheets, or outputs."
812,create client presentations of plan details.
813,"create computer applications for manufacturing processes or operations, using computer-aided design (cad) or computer-assisted manufacturing (cam) tools."
814,create content strategies for digital media.
815,create custom illustrations or other graphic elements.
816,create data management or error-checking procedures and user manuals.
817,"create data records for use in describing and analyzing social patterns and processes, using photography, videography, and audio recordings."
818,"create debt management plans, spending plans, or budgets to assist clients to meet financial goals."
819,"create designs, concepts, and sample layouts, based on knowledge of layout principles and esthetic design concepts."
820,create developmentally appropriate lesson plans.
821,create drink recipes.
822,"create finished art work as decoration, or to elucidate or substitute for spoken or written messages."
823,"create functional or decorative objects by hand, using a variety of methods and materials."
824,"create graphics, illustrations, and three-dimensional models to be used in research or in teaching, such as in demonstrating anatomy, pathology, or surgical procedures."
825,"create jewelry from materials such as gold, silver, platinum, and precious or semiprecious stones."
826,"create marketing or outreach media, such as brochures or web sites, to communicate sustainability issues, procedures, or objectives."
827,"create musical instrument digital interface programs for music projects, commercials, or film postproduction."
828,create novel computational approaches and analytical tools as required by research goals.
829,create or administer training and awareness presentations or materials.
830,create or implement metadata processes and frameworks.
831,create or maintain databases of known test defects.
832,"create or maintain formal engineering documents, such as schematics, bills of materials, components or materials specifications, or packaging requirements."
833,create or maintain plans or other documents related to sustainability projects.
834,create or modify web-based bioinformatics tools.
835,"create or revise user instructions, procedures, or manuals."
836,create or update technical documentation for network installations or changes to existing installations.
837,create or use statistical models for the analysis of genetic data.
838,"create original musical forms, or write within circumscribed musical forms such as sonatas, symphonies, or operas."
839,create policies or procedures for logistics activities.
840,"create schematics and physical layouts of integrated microelectromechanical systems (mems) components or packaged assemblies consistent with process, functional, or package constraints."
841,"create sculptures, statues, and other three-dimensional artwork by using abrasives and tools to shape, carve, and fabricate materials such as clay, stone, wood, or metal."
842,create searchable indices for web page content.
843,"create sketches, profiles, or likenesses of posed subjects or photographs, using any combination of freehand drawing, mechanical assembly kits, and computer imaging."
844,"create special effects such as vignettes, mosaics, and image combining, and add elements such as sound and animation to electronic publications."
845,"create supporting documentation, such as metadata and diagrams of entity relationships, business processes, and process flow."
846,"create three-dimensional or interactive representations of designs, using computer assisted design software."
847,"create visual representations of geospatial data using complex procedures, such as analytical modeling, three-dimensional renderings, or plot creation."
848,"create web models or prototypes that include physical, interface, logical, or data models."
849,"create wind energy project plans, including project scope, goals, tasks, resources, schedules, costs, contingencies, or other project information."
850,"create, analyze, report, convert, or transfer data, using specialized applications program software."
851,"create, maintain, and enter information into databases."
852,"create, manage, or automate orders or invoices, using order management or invoicing software."
853,"create, populate, or maintain databases for tracking validation activities, test results, or validated systems."
854,"customize insurance programs to suit individual customers, often covering a variety of risks."
855,cut and edit film or tape to integrate component parts into desired sequences.
856,"debit, credit, and total accounts on computer spreadsheets and databases, using specialized accounting software."
857,debug robotics programs.
858,decline excessive risks.
859,"define and analyze objectives, scope, issues, or organizational impact of information systems."
860,define and compare possible radio frequency identification device (rfid) solutions to inform selection for specific projects.
861,"define data requirements and gather and validate information, applying judgment and statistical tests."
862,"define instructional, learning, or performance objectives."
863,define or recommend model specifications or data collection methods.
864,"define product requirements, based on market research analysis, in collaboration with user interface design and engineering staff."
865,define regional or local transportation planning problems or priorities.
866,define the goals of the system and devise flow charts and diagrams describing logical operational steps of programs.
867,"delegate authority for the receipt, disbursement, banking, protection, and custody of funds, securities, and financial instruments."
868,deliver e-mail confirmation of completed transactions and shipment.
869,"deliver speeches, write articles, or present information at meetings or conventions to promote services, exchange ideas, or accomplish objectives."
870,demonstrate correct use of exercise equipment or performance of exercise routines.
871,"demonstrate database technical functionality, such as performance, security and reliability."
872,demonstrate equipment to customers and explain functioning of equipment.
873,"demonstrate miniaturized systems that contain components such as microsensors, microactuators, or integrated electronic circuits fabricated on silicon or silicon carbide wafers."
874,"demonstrate or explain products, methods, or services to persuade customers to purchase products or use services."
875,"demonstrate proper operation of fitness equipment, such as resistance machines, cardio machines, free weights, or fitness assessment devices."
876,"demonstrate system functionality and performance, including start-up, shut-down, normal operation, and emergency or bypass operations."
877,"demonstrate systems for customers and explain details, such as the causes and consequences of false alarms."
878,demonstrate use of laboratory equipment and enforce laboratory rules.
879,describe and recommend wines to customers.
880,"describe artifacts' physical properties or attributes, such as the materials from which artifacts are made and their size, shape, function, and decoration."
881,describe menu items to customers or suggest products that might appeal to them.
882,"describe merchandise and explain use, operation, and care of merchandise to customers."
883,design advanced precision equipment for accurate or controlled applications.
884,design and administer emergency or disaster preparedness training courses that teach people how to effectively respond to major emergencies and disasters.
885,"design and apply bioinformatics algorithms including unsupervised and supervised machine learning, dynamic programming, or graphic algorithms."
886,design and create special programs for tasks such as statistical analysis and data entry and cleaning.
887,"design and develop medical diagnostic and clinical instrumentation, equipment, and procedures, using the principles of engineering and biobehavioral sciences."
888,"design and direct nuclear research projects to discover facts, to test or modify theoretical models, or to develop new theoretical models or new uses for current models."
889,"design and fabricate dental prostheses, or supervise dental technicians and laboratory bench workers who construct the devices."
890,design and implement warehouse database structures.
891,"design and implement web site security measures, such as firewalls or message encryption."
892,"design and produce displays and materials that can be used to decorate windows, interior displays, or event locations such as streets and fairgrounds."
893,"design and set up advertising signs and displays of merchandise on shelves, counters, or tables to attract customers and promote sales."
894,design and validate clinical databases including designing or testing logic checks.
895,"design chemical conversion processes, such as etherification, esterification, interesterification, transesterification, distillation, hydrogenation, oxidation or reduction of fats and oils, and vegetable oil refining."
896,"design cognitive aids, such as procedural storyboards or decision support systems."
897,design community solid and hazardous waste management programs.
898,"design complex graphics and animation, using independent judgment, creativity, and computer equipment."
899,design computer simulations to model physical data so that it can be better understood.
900,design computers and the software that runs them.
901,"design custom clothing and accessories for individuals, retailers, or theatrical, television, or film productions."
902,"design customer interface of online storefront, using web programming or e-commerce software."
903,"design database applications, such as interfaces, data transfer mechanisms, global temporary tables, data partitions, and function-based indexes to enable efficient access of the generic database structure."
904,"design databases to support business applications, ensuring system scalability, security, performance and reliability."
905,design electro-optical sensing or imaging systems.
906,"design electronic components, software, products, or systems for commercial, industrial, medical, military, or scientific applications."
907,design engineering systems for the automation of industrial tasks.
908,design evaluation programs regarding the quality and effectiveness of nursing practice or organizational systems.
909,"design forms for receiving, processing, or tracking data."
910,design forms related to filing systems.
911,"design geological mine maps, monitor mine structural integrity, or advise and monitor mining crews."
912,"design individualized care plans, using a variety of treatments."
913,"design information storage and retrieval systems and develop procedures for collecting, organizing, interpreting, and classifying information."
914,design instructional aids for stand-alone or instructor-led classroom or online use.
915,design layouts of audio and video equipment and perform upgrades and maintenance.
916,"design learning products, including web-based aids or electronic performance support systems."
917,design models for use in evaluating logistics programs or services.
918,"design or conduct follow-up experimentation, based on generated data, to meet established process objectives."
919,"design or conduct studies to determine optimal conditions for cell growth, protein production, or protein or virus expression or recovery, using chromatography, separation, or filtration equipment, such as centrifuges or bioreactors."
920,"design or coordinate successive phases of problem analysis, solution proposals, or testing."
921,design or develop automated testing tools.
922,"design or develop energy products using nanomaterials or nanoprocesses, such as micro-nano machining."
923,"design or develop software systems, using scientific analysis and mathematical models to predict and measure outcome and consequences of design."
924,"design or engineer drainage, erosion, or sedimentation control systems for transportation projects."
925,"design or implement or establish requirements for security systems, video surveillance, motion detection, or closed-circuit television systems to ensure proper installation and operation."
926,design or implement products and services to mitigate risk or facilitate use of technology-based tools and methods.
927,"design or implement supply chains that support business strategies adapted to changing market conditions, new business opportunities, or cost reduction strategies."
928,design or implement web-based tools for querying large-scale biological databases.
929,"design or prepare graphic representations of geographic information systems (gis) data, using gis hardware or software applications."
930,"design or prepare plans for new transportation systems or parts of systems, such as airports, commuter trains, highways, streets, bridges, drainage structures, or roadway lighting."
931,"design or produce materials such as posters, web sites, or newsletters to promote, market, or advertise fundraising events."
932,design patient education programs that include information required to make informed health care and treatment decisions.
933,design plant layouts or production facilities.
934,design plant or production layouts that minimize environmental impacts.
935,design research projects that apply valid scientific techniques and use information obtained from baselines or historical data to structure uncompromised and efficient analyses.
936,"design research studies in collaboration with physicians, life scientists, or other professionals."
937,"design robotic systems, such as automatic vehicle control, autonomous vehicles, advanced displays, advanced sensing, robotic platforms, computer vision, or telematics systems."
938,"design security policies, programs, or practices to ensure adequate security relating to issues such as protection of assets, alarm response, and access card use."
939,"design silver articles, such as jewelry and serving pieces."
940,"design software to control robotic systems for applications, such as military defense or manufacturing."
941,design transportation surveys to identify areas of public concern.
942,"design transportation systems or structures using sustainable materials or products, such as porous pavement or bioretention structures."
943,"design water run-off collection networks, water supply channels, or water supply system networks."
944,"design, analyze, and decipher encryption systems designed to transmit military, political, financial, or law-enforcement-related information in code."
