,task_name
614,conduct research or provide instruction on subject matter related to athletic training or sports medicine.
615,"conduct research related to a range of nanotechnology topics, such as packaging, heat transfer, fluorescence detection, nanoparticle dispersion, hybrid systems, liquid systems, nanocomposites, nanofabrication, optoelectronics, or nanolithography."
616,"conduct research to determine best methods of planting, spraying, cultivating, harvesting, storing, processing, or transporting horticultural products."
617,"conduct research to develop methodologies, instrumentation and procedures for medical application, analyzing data and presenting findings."
618,"conduct research to develop methodologies, instrumentation, and procedures for medical application, analyzing data and presenting findings to the scientific audience and general public."
619,"conduct research to extend mathematical knowledge in traditional areas, such as algebra, geometry, probability, and logic."
620,conduct research to gather information about survey topics.
621,conduct research to generate new knowledge that can be used to address learning and behavior issues.
622,"conduct research to identify the goals, net worth, history of charitable donations, or other data related to potential donors, potential investors, or general donor markets."
623,"conduct research, along with life scientists, chemists, and medical scientists, on the engineering aspects of the biological systems of humans and animals."
624,"conduct research, compile data, and prepare papers for consideration and presentation by executives, committees, and boards of directors."
625,"conduct searches to find needed information, using such sources as the internet."
626,"conduct seminars or workshops on financial planning topics, such as retirement planning, estate planning, or the evaluation of severance packages."
627,conduct short-term and long-term climate assessments and study storm occurrences.
628,conduct social research to advance knowledge in the social work field.
629,conduct social research.
630,"conduct standardized biological, microbiological or biochemical tests and laboratory analyses to evaluate the quantity or quality of physical or chemical substances in food or other products."
631,"conduct standardized tests on food, beverages, additives, or preservatives to ensure compliance with standards and regulations regarding factors such as color, texture, or nutrients."
632,conduct statistical analyses to quantify risk using statistical analysis software or econometric models.
633,conduct statistical studies to analyze or compare production costs for sustainable and nonsustainable designs.
634,conduct statistical studies to analyze or compare production costs for sustainable or nonsustainable designs.
635,conduct testing to determine functionality or optimization or to establish limits of photonics systems or components.
636,"conduct threat or vulnerability analyses to determine probable frequency, criticality, consequence, or severity of natural or man-made disasters or criminal activity on the organization's profitability or delivery of products or services."
637,"conduct training programs to develop or maintain desired animal behaviors for competition, entertainment, obedience, security, riding, or related purposes."
638,"conduct, or oversee the conduct of, chemical, physical, and biological water quality monitoring or sampling to ensure compliance with water quality standards."
639,"confer with board members, organization officials, or staff members to discuss issues, coordinate activities, or resolve problems."
640,confer with clients about their medical histories and problems with stress or pain to determine how massage will be most helpful.
641,confer with clients regarding the nature of the information processing or computation needs a computer program is to address.
642,"confer with clients to determine objectives, budget, background information, and presentation approaches, styles, and techniques."
643,"confer with clients to develop strategies for their careers, and to explain actions taken on their behalf."
644,confer with clients to obtain and provide information when claims are made on a policy.
645,"confer with clients, editors, writers, art directors, and other interested parties regarding the nature and content of artwork to be produced."
646,"confer with clients, vendors, staff, and management personnel regarding purchases, product and production specifications, manufacturing capabilities, or project status."
647,"confer with company officials to develop methods and procedures to increase sales, expand markets, and promote business."
648,"confer with contractors, utility companies, or government agencies to discuss plans, specifications, or work schedules."
649,confer with customers and engineers to assess equipment needs and to determine system requirements.
650,"confer with customers by telephone or in person to determine reasons for overdue payments and to review the terms of sales, service, or credit contracts."
651,"confer with customers by telephone or in person to provide information about products or services, take or enter orders, cancel accounts, or obtain details of complaints."
652,confer with customers to assess customer needs or obtain feedback.
653,confer with customers to determine how to tailor materials to their needs.
654,confer with customers to determine project requirements or to provide cost estimates.
655,confer with customers to determine their service requirements and travel preferences.
656,confer with customers to determine types of material and garment styles desired.
657,confer with customers to obtain descriptions of vehicle problems and to discuss work to be performed and future repair requirements.
658,"confer with directors and production staff to discuss issues such as production and casting problems, budgets, policies, and news coverage."
659,"confer with disputants to clarify issues, identify underlying concerns, and develop an understanding of their respective needs and interests."
660,"confer with end users to define or implement clinical system requirements such as data release formats, delivery schedules, and testing protocols."
661,confer with engineering staff and consult specifications to evaluate interface between hardware and software and operational and performance requirements of overall system.
662,"confer with engineering, supervisory, or manufacturing personnel to exchange technical information."
663,"confer with engineers, customers, vendors, or others to discuss existing or potential electronics engineering projects or products."
664,"confer with legal staff to resolve problems, such as copyright infringement or royalty sharing with outside producers or distributors."
665,"confer with management or development teams to prioritize needs, resolve conflicts, develop content criteria, or choose solutions."
666,"confer with managerial or technical personnel, other departments, or contractors to resolve problems or to coordinate activities."
667,confer with medical professionals regarding image-based diagnoses.
668,"confer with other staff members to plan and schedule lessons promoting learning, following approved curricula."
669,"confer with parents or guardians, other teachers, counselors, and administrators to resolve students' behavioral and academic problems."
670,"confer with parents or guardians, teachers, administrators, and other professionals to discuss children's progress, resolve behavioral, academic, and other problems, and to determine priorities for students and their resource needs."
671,confer with producers and directors concerning layout or editing approaches needed to increase dramatic or entertainment value of productions.
672,confer with producers and directors to define the nature and placement of film or television music.
673,"confer with producers, performers, and others to determine and achieve the desired sound for a production, such as a musical recording or a film."
674,confer with project personnel to identify and resolve problems.
675,confer with research and biomanufacturing personnel to ensure the compatibility of design and production.
676,confer with research personnel to clarify or resolve problems and to develop or modify designs.
677,"confer with researchers, clinicians, or information technology staff to determine data needs and programming requirements and to provide assistance with database-related research activities."
678,"confer with scientific, engineering, and technical personnel to resolve design, research, and testing problems."
679,"confer with scientists or engineers to conduct analyses of research projects, interpret test results, or develop nonstandard tests."
680,"confer with supervisory personnel, owners, contractors, or design professionals to discuss and resolve matters, such as work procedures, complaints, or construction problems."
681,"confer with systems analysts, engineers, programmers and others to design system and to obtain information on project limitations and capabilities, performance requirements and interfaces."
682,"confer with taxpayers or their representatives to discuss the issues, laws, and regulations involved in returns, and to resolve problems with returns."
683,"confer with technical directors, managers, crew members, and writers to discuss details of production, such as photography, script, music, sets, and costumes."
684,"confer with the patient, medical practitioners, or appropriate others to plan, implement, or assess the intervention program."
685,confer with underwriters to aid in resolving mortgage application problems.
686,confer with underwriters to resolve mortgage application problems.
687,configure security settings or access permissions for groups or individuals.
688,configure servers to meet functional specifications.
689,consider environmental sustainability factors when determining merchandise packing methods.
690,"consider such factors as ensemble size and abilities, availability of scores, and the need for musical variety, to select music to be performed."
691,"construct, test, maintain, and repair substation relay and control systems."
692,consult classification manuals to locate information about disease processes.
693,"consult manuals, schematics, wiring diagrams, and engineering personnel to troubleshoot and solve equipment problems and to determine optimum equipment functioning."
694,consult or negotiate with clients to prepare project specifications.
695,consult reference books or secure aid of readers to check references with rules of grammar and composition.
696,"consult reference material, such as textbooks, manuals, and journals, to identify symptoms, make diagnoses, and develop approaches to treatment."
697,"consult sources such as rate books, manuals, or insurance company representatives to determine specific charges or information such as rules, regulations, or government tax and tariff information."
698,"consult with and advise physicians, educators, researchers, and others regarding medical applications of physics, biology, and chemistry."
699,"consult with and advise physicians, educators, researchers, government health officials and others regarding medical applications of sciences, such as physics, biology, and chemistry."
700,consult with and assist computer operators or system analysts to define and resolve problems in running computer programs.
701,consult with and refer patients to ophthalmologist or other health care practitioner if additional medical treatment is determined necessary.
702,consult with clients to assess risks and to determine security requirements.
703,"consult with clients, vendors, personnel in other departments or construction foremen to discuss and formulate estimates and resolve issues."
704,consult with customers about software system design and maintenance.
705,"consult with customers or other departments on project status, proposals, or technical issues, such as software system design or maintenance."
706,"consult with customers to determine objectives and requirements for events such as meetings, conferences, and conventions."
707,"consult with engineering staff to evaluate interface between hardware and software, develop specifications and performance requirements, or resolve customer problems."
708,"consult with families or friends of the deceased to arrange funeral details, such as obituary notice wording, casket selection, or plans for services."
709,"consult with managerial, engineering, and technical personnel to clarify program intent, identify problems, and suggest changes."
710,consult with multiple stakeholders to define requirements and implement online features.
711,"consult with or provide consultation to other doctors, therapists, or clinicians regarding patient care."
712,"consult with other health professionals to provide optimal patient care, referring patients to traditional health care professionals as necessary."
713,"consult with other professionals, agencies, or universities to discuss therapies, treatments, counseling resources or techniques, and to share occupational information."
714,consult with patients following radiation treatments to provide information and assess outcomes or to recommend further consultation or treatments as appropriate.
715,"consult with researchers to analyze problems, recommend technology-based solutions, or determine computational strategies."
716,"consult with users, management, vendors, and technicians to assess computing needs and system requirements."
717,"consult with users, management, vendors, and technicians to determine computing needs and system requirements."
718,"consult with writers, producers, or actors about script changes or ""workshop"" scripts, through rehearsal with writers and actors to create final drafts."
719,contact borrowers with delinquent accounts to obtain payment in full or to negotiate repayment plans.
720,contact customers to persuade them to purchase merchandise or services.
721,contact customers to respond to inquiries or to notify them of claim investigation results or any planned adjustments.
722,contact job applicants to inform them of the status of their applications.
723,contact new or existing customers to discuss how specific products or services can meet their needs.
724,"contact prospective customers to determine customer needs, present information, or explain available services."
725,contact prospective customers to present information and explain available services.
726,"contribute to the compilation, organization, and production of protocols, clinical study reports, regulatory submissions, or other controlled documentation."
727,contribute written material or data for grant or patent applications.
728,"control, monitor, or operate equipment that regulates or distributes electricity or steam, using data obtained from instruments or computers."
729,"converse with customer to determine destination, mode of transportation, travel dates, financial considerations, and accommodations required."
730,"convert various types of files for printing or for the internet, using computer software."
731,convert video and audio recordings into digital formats for editing or archiving.
732,"cook food or prepare food items, such as sandwiches, salads, and ice cream dishes, using standard formulas or following directions."
733,coordinate and direct extracurricular activities and programs such as after-school events and athletic contests.
734,coordinate and link the computer systems within an organization to increase compatibility and so information can be shared.
735,"coordinate and supervise extracurricular activities, such as clubs, student organizations, and academic contests."
736,coordinate appointments to show homes to prospective buyers.
737,"coordinate communication between patients, family members, medical staff, administrative staff, or regulatory agencies."
738,"coordinate conferences, meetings, or special events, such as luncheons or graduation ceremonies."
739,coordinate due diligence processes and the negotiation or execution of purchase or sale agreements.
740,"coordinate exhibit installations, assisting with design, constructing displays, dioramas, display cases, and models, and ensuring the availability of necessary materials."
741,coordinate implementation of computer system plan with establishment personnel and outside vendors.
742,"coordinate or conduct instructional classes or in-services, such as citizen police academy classes and crime scene training for other officers."
743,"coordinate or perform activities associated with shipping, receiving, distribution, or transportation."
744,"coordinate planning, budgeting, or purchasing for all the food operations within establishments such as clubs, hotels, or restaurant chains."
745,"coordinate property closings, overseeing signing of documents and disbursement of funds."
746,"coordinate sales or other promotional strategies with merchandising, operations, or inventory control staff to ensure product catalogs are current, accurate, and organized for best findability against user intent."
747,"coordinate with and consult other workers to design, lay out, or detail components and systems and to resolve design or other problems."
748,"coordinate with developers to optimize web site architecture, server configuration, or page construction for search engine consumption and optimal visibility."
749,"coordinate with engineers, planners, field personnel, or other utility workers to provide information such as clearances, switching orders, or distribution process changes."
750,correct errors by making appropriate changes and rechecking the program to ensure that the desired results are produced.
751,"correspond with online customers via electronic mail, telephone, or other electronic messaging to address questions or complaints about products, policies, or shipping methods."
752,counsel and encourage patients to develop leisure activities.
753,"counsel and provide guidance to students regarding personal, academic, vocational, or behavioral issues."
754,"counsel clients and patients in individual and group sessions to help them overcome dependencies, recover from illness, and adjust to life."
755,"counsel clients on personal and family financial problems, such as excessive spending or borrowing of funds."
756,"counsel clients or patients, individually or in group sessions, to assist in overcoming dependencies, adjusting to life, or making changes."
757,counsel employees about work-related issues and assist employees to correct job-skill deficiencies.
758,"counsel individuals and groups on basic rules of good nutrition, healthy eating habits, and nutrition monitoring to improve their quality of life."
759,"counsel individuals and groups regarding problems, such as stress, substance abuse, and family situations, to modify behavior or to improve personal, social, and vocational adjustment."
760,"counsel individuals or groups concerning their spiritual, emotional, or personal needs."
761,"counsel individuals regarding interpersonal, health, financial, or religious problems."
762,"counsel individuals to help them understand and overcome personal, social, or behavioral problems affecting their educational or vocational situations."
763,"counsel individuals, groups, families, or communities regarding issues including mental health, poverty, unemployment, substance abuse, physical abuse, rehabilitation, social adjustment, child care, or medical care."
764,"counsel patients about drug regimens and possible side effects or interactions with other substances such as food supplements, over-the-counter (otc) medications, or herbal remedies."
765,"counsel patients about nutrition, exercise, sleeping habits, stress management, or other matters."
766,"counsel students regarding educational issues, such as course and program selection, class scheduling and registration, school adjustment, truancy, study habits, and career planning."
767,counsel workers about job and career-related issues.
768,count and record number of tickets collected.
769,"create a grid of each site and draw and update maps of unit profiles, stratum surfaces, features, and findings."
770,create and enforce database development standards.
771,create and explore new cuisines.
772,"create and maintain accessible, retrievable computer archives and databases, incorporating current advances in electronic information storage technology."
773,"create and manage documentation, production schedules, prototyping goals, and communication plans in collaboration with production staff."
774,"create and prepare sketches and model drawings of cartoon characters, providing details from memory, live models, manufactured products, or reference materials."
775,create artifact typologies to organize and make sense of past material cultures.
776,"create basic designs, drawings, and illustrations for product labels, cartons, direct mail, or television."
777,"create business intelligence tools or systems, including design of related databases, spreadsheets, or outputs."
778,create client presentations of plan details.
779,"create computer applications for manufacturing processes or operations, using computer-aided design (cad) or computer-assisted manufacturing (cam) tools."
780,create content strategies for digital media.
781,create custom illustrations or other graphic elements.
782,create data management or error-checking procedures and user manuals.
783,"create data records for use in describing and analyzing social patterns and processes, using photography, videography, and audio recordings."
784,"create debt management plans, spending plans, or budgets to assist clients to meet financial goals."
785,"create designs, concepts, and sample layouts, based on knowledge of layout principles and esthetic design concepts."
786,create developmentally appropriate lesson plans.
787,create drink recipes.
788,create embedded software design programs.
789,"create finished art work as decoration, or to elucidate or substitute for spoken or written messages."
790,create freehand drawings and lettering to accompany drawings.
791,"create functional or decorative objects by hand, using a variety of methods and materials."
792,"create graphics, illustrations, and three-dimensional models to be used in research or in teaching, such as in demonstrating anatomy, pathology, or surgical procedures."
793,"create jewelry from materials such as gold, silver, platinum, and precious or semiprecious stones."
794,"create marketing or outreach media, such as brochures or web sites, to communicate sustainability issues, procedures, or objectives."
795,create models to demonstrate or predict the process by which pollutants move through or impact an environment.
796,"create musical instrument digital interface programs for music projects, commercials, or film postproduction."
797,"create new jewelry designs and modify existing designs, using computers as necessary."
798,create novel computational approaches and analytical tools as required by research goals.
799,create or administer training and awareness presentations or materials.
800,"create or distribute offline promotional material, such as brochures, pamphlets, business cards, stationary, or signage."
801,"create or enhance mannequin faces by mixing and applying paint or attaching measured eyelash strips, using artist's brush, airbrush, pins, ruler, or scissors."
802,create or implement metadata processes and frameworks.
803,create or maintain databases of known test defects.
804,"create or maintain formal engineering documents, such as schematics, bills of materials, components or materials specifications, or packaging requirements."
805,create or maintain plans or other documents related to sustainability projects.
806,create or modify web-based bioinformatics tools.
807,"create or revise user instructions, procedures, or manuals."
808,create or update technical documentation for network installations or changes to existing installations.
809,create or use statistical models for the analysis of genetic data.
810,"create original musical forms, or write within circumscribed musical forms such as sonatas, symphonies, or operas."
811,"create photographic recordings of information, using equipment."
812,create policies or procedures for logistics activities.
813,create prototypes or models of objects to be crafted.
814,"create schematics and physical layouts of integrated microelectromechanical systems (mems) components or packaged assemblies consistent with process, functional, or package constraints."
815,create searchable indices for web page content.
816,create simulations or models of radio frequency identification device (rfid) systems to provide information for selection and configuration.
817,"create sketches, profiles, or likenesses of posed subjects or photographs, using any combination of freehand drawing, mechanical assembly kits, and computer imaging."
818,"create special effects such as vignettes, mosaics, and image combining, and add elements such as sound and animation to electronic publications."
819,create specialty dishes and develop recipes to be used in dining facilities.
820,"create supporting documentation, such as metadata and diagrams of entity relationships, business processes, and process flow."
821,"create three-dimensional or interactive representations of designs, using computer assisted design software."
822,"create visual representations of geospatial data using complex procedures, such as analytical modeling, three-dimensional renderings, or plot creation."
823,"create visualizations to illustrate historical or future changes in the earth's climate, using paleoclimate or climate geographic information systems (gis) databases."
824,"create web models or prototypes that include physical, interface, logical, or data models."
825,"create wind energy project plans, including project scope, goals, tasks, resources, schedules, costs, contingencies, or other project information."
826,"create, analyze, report, convert, or transfer data, using specialized applications program software."
827,"create, maintain, and enter information into databases."
828,"create, populate, or maintain databases for tracking validation activities, test results, or validated systems."
829,"cultivate, breed, and grow aquatic life, such as lobsters, clams, or fish."
830,"customize art therapy programs for specific client populations, such as those in schools, nursing homes, wellness centers, prisons, shelters, or hospitals."
831,"customize insurance programs to suit individual customers, often covering a variety of risks."
832,"debit, credit, and total accounts on computer spreadsheets and databases, using specialized accounting software."
833,debug robotics programs.
834,decline excessive risks.
835,"define and analyze objectives, scope, issues, or organizational impact of information systems."
836,define and compare possible radio frequency identification device (rfid) solutions to inform selection for specific projects.
837,"define data requirements and gather and validate information, applying judgment and statistical tests."
838,"define instructional, learning, or performance objectives."
839,define or recommend model specifications or data collection methods.
840,define regional or local transportation planning problems or priorities.
841,define the goals of the system and devise flow charts and diagrams describing logical operational steps of programs.
842,"delegate authority for the receipt, disbursement, banking, protection, and custody of funds, securities, and financial instruments."
843,deliver and retrieve items throughout the library by hand or using pushcart.
844,"deliver speeches, write articles, or present information at meetings or conventions to promote services, exchange ideas, or accomplish objectives."
845,demonstrate correct use of exercise equipment or performance of exercise routines.
846,"demonstrate database technical functionality, such as performance, security and reliability."
847,"demonstrate miniaturized systems that contain components such as microsensors, microactuators, or integrated electronic circuits fabricated on silicon or silicon carbide wafers."
848,"demonstrate or explain products, methods, or services to persuade customers to purchase products or use services."
849,"demonstrate proper operation of fitness equipment, such as resistance machines, cardio machines, free weights, or fitness assessment devices."
850,describe and recommend wines to customers.
851,"describe artifacts' physical properties or attributes, such as the materials from which artifacts are made and their size, shape, function, and decoration."
852,describe menu items to customers or suggest products that might appeal to them.
853,"describe merchandise and explain use, operation, and care of merchandise to customers."
854,design advanced precision equipment for accurate or controlled applications.
855,"design and apply bioinformatics algorithms including unsupervised and supervised machine learning, dynamic programming, or graphic algorithms."
856,design and create special programs for tasks such as statistical analysis and data entry and cleaning.
857,"design and develop medical diagnostic and clinical instrumentation, equipment, and procedures, using the principles of engineering and biobehavioral sciences."
858,"design and direct nuclear research projects to discover facts, to test or modify theoretical models, or to develop new theoretical models or new uses for current models."
859,design and implement warehouse database structures.
860,"design and implement web site security measures, such as firewalls or message encryption."
861,"design and produce displays and materials that can be used to decorate windows, interior displays, or event locations such as streets and fairgrounds."
862,design and validate clinical databases including designing or testing logic checks.
863,"design chemical conversion processes, such as etherification, esterification, interesterification, transesterification, distillation, hydrogenation, oxidation or reduction of fats and oils, and vegetable oil refining."
864,design community solid and hazardous waste management programs.
865,"design complex graphics and animation, using independent judgment, creativity, and computer equipment."
866,design computer simulations to model physical data so that it can be better understood.
867,design computers and the software that runs them.
868,"design custom clothing and accessories for individuals, retailers, or theatrical, television, or film productions."
869,"design customer interface of online storefront, using web programming or e-commerce software."
870,"design database applications, such as interfaces, data transfer mechanisms, global temporary tables, data partitions, and function-based indexes to enable efficient access of the generic database structure."
871,"design databases to support business applications, ensuring system scalability, security, performance and reliability."
872,"design domestic or industrial water or wastewater treatment plants, including advanced facilities with sequencing batch reactors (sbr), membranes, lift stations, headworks, surge overflow basins, ultraviolet disinfection systems, aerobic digesters, sludge lagoons, or control buildings."
873,design electro-optical sensing or imaging systems.
874,"design electronic components, software, products, or systems for commercial, industrial, medical, military, or scientific applications."
875,design engineering systems for the automation of industrial tasks.
876,"design forms for receiving, processing, or tracking data."
877,design forms related to filing systems.
878,"design geological mine maps, monitor mine structural integrity, or advise and monitor mining crews."
879,"design individualized care plans, using a variety of treatments."
880,"design information storage and retrieval systems and develop procedures for collecting, organizing, interpreting, and classifying information."
881,design instructional aids for stand-alone or instructor-led classroom or online use.
882,design layouts of audio and video equipment and perform upgrades and maintenance.
883,"design learning products, including web-based aids or electronic performance support systems."
884,design measurement and control systems for chemical plants based on data collected in laboratory experiments and in pilot plant operations.
885,"design molecular or cellular laboratory experiments, oversee their execution, and interpret results."
886,"design music therapy experiences, using various musical elements to meet client's goals or objectives."
887,"design or analyze automobile systems in areas such as aerodynamics, alternate fuels, ergonomics, hybrid power, brakes, transmissions, steering, calibration, safety, or diagnostics."
888,design or build laboratory equipment needed for special research projects.
889,"design or conduct follow-up experimentation, based on generated data, to meet established process objectives."
890,"design or conduct studies to determine optimal conditions for cell growth, protein production, or protein or virus expression or recovery, using chromatography, separation, or filtration equipment, such as centrifuges or bioreactors."
891,"design or conduct tests of new nanotechnology products, processes, or systems."
892,"design or construct costumes or send them to tailors for construction, major repairs, or alterations."
893,"design or coordinate successive phases of problem analysis, solution proposals, or testing."
894,design or develop automated testing tools.
895,"design or develop energy products using nanomaterials or nanoprocesses, such as micro-nano machining."
896,"design or develop new equipment or methods for meteorological data collection, remote sensing, or related applications."
897,"design or develop software systems, using scientific analysis and mathematical models to predict and measure outcome and consequences of design."
898,"design or engineer drainage, erosion, or sedimentation control systems for transportation projects."
899,design or implement plant warehousing strategies for production materials or finished products.
900,design or implement products and services to mitigate risk or facilitate use of technology-based tools and methods.
901,design or implement web-based tools for querying large-scale biological databases.
902,"design or prepare graphic representations of geographic information systems (gis) data, using gis hardware or software applications."
903,"design or produce materials such as posters, web sites, or newsletters to promote, market, or advertise fundraising events."
904,design or select equipment for use in wastewater processing to ensure compliance with government standards.
905,"design or supervise the design of systems, processes, or equipment for control, management, or remediation of water, air, or soil quality."
906,design patient education programs that include information required to make informed health care and treatment decisions.
907,design research projects that apply valid scientific techniques and use information obtained from baselines or historical data to structure uncompromised and efficient analyses.
908,"design research studies in collaboration with physicians, life scientists, or other professionals."
909,"design robotic systems, such as automatic vehicle control, autonomous vehicles, advanced displays, advanced sensing, robotic platforms, computer vision, or telematics systems."
910,"design security policies, programs, or practices to ensure adequate security relating to issues such as protection of assets, alarm response, and access card use."
911,"design silver articles, such as jewelry and serving pieces."
912,"design software to control robotic systems for applications, such as military defense or manufacturing."
913,"design specialized or customized equipment, machines, or structures."
914,design transportation surveys to identify areas of public concern.
915,"design transportation systems or structures using sustainable materials or products, such as porous pavement or bioretention structures."
916,"design water run-off collection networks, water supply channels, or water supply system networks."
917,design water storage tanks or other water storage facilities.
918,"design, analyze, and decipher encryption systems designed to transmit military, political, financial, or law-enforcement-related information in code."
919,"design, build, or maintain web sites, using authoring or scripting languages, content creation tools, management tools, and digital media."
920,"design, build, or operate equipment configuration prototypes, including network hardware, software, servers, or server operation systems."
921,"design, configure, and test computer hardware, networking software and operating system software."
922,"design, customize, and maintain databases, web pages, and local area networks."
923,"design, develop and modify software systems, using scientific analysis and mathematical models to predict and measure outcome and consequences of design."
924,"design, develop, or implement control circuits or algorithms for electromechanical or pneumatic devices or systems."
925,"design, develop, select, test, implement, and evaluate new or modified informatics solutions, data structures, and decision-support mechanisms to support patients, health care professionals, and their information management and human-computer and human-technology interactions within health care contexts."
926,"design, evaluate and modify benefits policies to ensure that programs are current, competitive and in compliance with legal requirements."
927,"design, evaluate, recommend, and approve changes of forms and reports."
928,"design, implement, or evaluate health service delivery systems to improve the health of targeted populations."
929,"design, implement, or operate comprehensive data warehouse systems to balance optimization of data access with batch loading and resource utilization factors, according to customer requirements."
930,"design, install, or troubleshoot manufacturing equipment."
931,"design, integrate, or test photonics systems or components."
932,"design, make, or fit prosthodontic appliances, such as space maintainers, bridges, or dentures, or write fabrication instructions or prescriptions for denturists or dental technicians."
933,"design, organize, and deliver product awareness, skills transfer, or product education sessions for staff or suppliers."
934,"design, plan, organize, or direct orientation and training programs for employees or customers."
935,"design, program, or model geographic information systems (gis) applications or procedures."
936,"design, promote, or administer government plans or policies affecting land use, zoning, public utilities, community facilities, housing, or transportation."
937,"design, review and help administer insurance, annuity and pension plans, determining financial soundness and calculating premiums."
938,"design, use, or maintain databases and software applications, such as geographic information systems (gis) mapping and artificial intelligence tools."
939,"determine a published or broadcasted story's emphasis, length, and format and organize material accordingly."
940,"determine allocations of funds for staff, supplies, materials, and equipment and authorize purchases."
941,determine amounts and kinds of chemicals to use in destroying harmful organisms or removing impurities from purification systems.
942,"determine and specify details of survey projects, including sources of information, procedures to be used, and the design of survey instruments and materials."
943,determine applications of photonics appropriate to meet product objectives or features.
944,"determine appropriate sizes, ratings, and locations for all system overcurrent devices, disconnect devices, grounding equipment, and surge suppression equipment."
945,"determine campaign strategies for media advertising, positions on issues, and public appearances."
946,"determine commercial, industrial, scientific, or other uses for electro-optical applications or devices."
947,determine computer software or hardware needed to set up or alter system.
948,determine connection interfaces for additional subpanels or for connecting photovoltaic (pv) systems with utility services or other power generation sources.
949,determine data collection methods to be employed in research projects or surveys.
950,"determine desired images and picture composition, selecting and adjusting subjects, equipment, and lighting to achieve desired effects."
951,determine efficient and cost-effective methods of moving goods from one location to another.
952,"determine existence and amount of liability according to current laws, administrative and judicial precedents, and available evidence."
953,"determine fares based on trip distances and times, using taximeters and fee schedules, and announce fares to passengers."
954,"determine feasibility of designing new facilities or modifying existing facilities, based on factors such as cost, available space, schedule, technical requirements, or ergonomics."
955,determine food and beverage costs and assist in implementing cost control procedures.
956,"determine formats, approaches, content, levels, and mediums necessary to meet production objectives effectively and within budgetary constraints."
957,"determine formats, approaches, content, levels, and mediums to effectively meet objectives within budgetary constraints, using research, knowledge, and training."
958,"determine genetic composition of animal populations and heritability of traits, using principles of genetics."
959,determine guidelines that specify which source material is acceptable for use.
960,determine location for product listings to maximize exposure to online traffic.
961,"determine map content and layout, as well as production specifications such as scale, size, projection, and colors, and direct production to ensure that specifications are followed."
962,"determine materials, equipment, and installation sequences necessary to maximize installation efficiency."
963,"determine meal prices, based on calculations of ingredient prices."
964,"determine or help determine company policy, and explain complex technical matters to company executives, government officials, shareholders, policyholders, or the public."
965,determine packaging requirements.
966,"determine plant growing conditions, such as greenhouses, hydroponics, or natural settings, and set planting and care schedules."
967,determine policy contract provisions for each type of insurance.
968,determine price schedules and discount rates.
969,"determine regulations or procedures related to the management, collection, reuse, recovery, or recycling of packaging waste."
970,"determine replacement parts required, according to inspections of old parts, customer requests, or customers' descriptions of malfunctions."
971,"determine required equipment and welding methods, applying knowledge of metallurgy, geometry, and welding techniques."
972,"determine requirements for treatment, such as type, method and duration of therapy, precautions to be taken, or medication and dosages, compatible with physicians' orders."
973,"determine size and arrangement of illustrative material and copy, and select style and size of type."
974,"determine sources of web page or server problems, and take action to correct such problems."
975,"determine supplementary virtual features, such as currency, item catalog, menu design, and audio direction."
976,determine the value loss impact and criticality of assets.
977,"determine types and quantities of horticultural plants to be grown, based on budgets, projected sales volumes, or executive directives."
978,determine which products or colors will improve clients' skin quality and appearance.
979,"determine which topics to research, or pursue research topics specified by clients or employers."
980,develop advertising and other informational materials to be used in subject recruitment.
981,"develop advertising campaigns for a wide range of clients, working with an advertising agency's creative director and art director to determine the best way to present advertising information."
982,develop an understanding of customers' needs and take actions to ensure that such needs are met.
983,develop an understanding of fields to which statistical methods are to be applied to determine whether methods and results are appropriate.
984,"develop and direct software system testing and validation procedures, programming, and documentation."
985,"develop and distribute newsletters, brochures, or other printed materials to share information with patients or medical staff."
